avorta	a'vort'a
avortaj	a'vort'a'j
avorto	a'vort'o
avortoj	a'vort'o'j
avortojn	a'vort'o'j'n
avorton	a'vort'o'n
abako	abak'o
abakon	abak'o'n
abandonas	abandon'as
abandoni	abandon'i
abandonis	abandon'is
abandonita	abandon'it'a
abandonitaj	abandon'it'a'j
abaso	abas'o
abasida	abas'id'a
abasidoj	abas'id'o'j
abato	abat'o
abatoj	abat'o'j
abaton	abat'o'n
abateja	abat'ej'a
abatejo	abat'ej'o
abatejoj	abat'ej'o'j
abatejon	abat'ej'o'n
abatino	abat'in'o
abatinoj	abat'in'o'j
abatinujo	abat'in'uj'o
abdiki	abdik'i
abdikis	abdik'is
abdiko	abdik'o
abdikon	abdik'o'n
abdomena	abdomen'a
abdomenaj	abdomen'a'j
abdomenan	abdomen'a'n
abdomeno	abdomen'o
abdomenon	abdomen'o'n
abela	abel'a
abelan	abel'a'n
abelo	abel'o
abeloj	abel'o'j
abelojn	abel'o'j'n
abelon	abel'o'n
abelbredado	abel'bred'ad'o
abelbredistoj	abel'bred'ist'o'j
abelmanĝuloj	abel'manĝ'ul'o'j
abelreĝino	abel'reĝ'in'o
abelujo	abel'uj'o
abelujoj	abel'uj'o'j
abelujon	abel'uj'o'n
abelardo	abelard'o
aberacio	aberaci'o
aberacioj	aberaci'o'j
abia	abi'a
abio	abi'o
abioj	abi'o'j
abiojn	abi'o'j'n
abion	abi'o'n
abidozo	abidoz'o
abisma	abism'a
abismo	abism'o
abismoj	abism'o'j
abismojn	abism'o'j'n
abismon	abism'o'n
abituro	abitur'o
abiturienta	abiturient'a
abiturientaj	abiturient'a'j
abiturientan	abiturient'a'n
abiturientoj	abiturient'o'j
ablacio	ablaci'o
ablativo	ablativ'o
abnegacio	abnegaci'o
aboco	aboc'o
abocon	aboc'o'n
abocolibro	aboc'o'libr'o
aboli	abol'i
abolis	abol'is
abolo	abol'o
abolon	abol'o'n
abolita	abol'it'a
abolicii	abolici'i
aboliciis	abolici'is
abolicio	abolici'o
abolicion	abolici'o'n
aboliciado	abolici'ad'o
aboliciante	abolici'ant'e
aboliciita	abolici'it'a
aboliciitaj	abolici'it'a'j
abomena	abomen'a
abomenaj	abomen'a'j
abomenan	abomen'a'n
abomenas	abomen'as
abomene	abomen'e
abomeni	abomen'i
abomenis	abomen'is
abomeno	abomen'o
abomenon	abomen'o'n
abomenaĵo	abomen'aĵ'o
abomenaĵoj	abomen'aĵ'o'j
abomenaĵojn	abomen'aĵ'o'j'n
abomeninda	abomen'ind'a
abomenindaj	abomen'ind'a'j
abomenindajn	abomen'ind'a'j'n
abomenindan	abomen'ind'a'n
abomeninde	abomen'ind'e
abomenindaĵo	abomen'ind'aĵ'o
abonas	abon'as
aboni	abon'i
abonis	abon'is
abono	abon'o
abonoj	abon'o'j
abonojn	abon'o'j'n
abonon	abon'o'n
abonu	abon'u
abonado	abon'ad'o
abonanto	abon'ant'o
abonantoj	abon'ant'o'j
abonantojn	abon'ant'o'j'n
abonantaro	abon'ant'ar'o
abonantaron	abon'ant'ar'o'n
abonhelpa	abon'help'a
abonintoj	abon'int'o'j
aborigenoj	aborigen'o'j
abortas	abort'as
aborti	abort'i
abortis	abort'is
aborto	abort'o
abortoj	abort'o'j
abortojn	abort'o'j'n
aborton	abort'o'n
abortigo	abort'ig'o
abortigon	abort'ig'o'n
abrikoto	abrikot'o
abrikotoj	abrikot'o'j
abrikotojn	abrikot'o'j'n
abrikotujoj	abrikot'uj'o'j
abrupta	abrupt'a
abruptaj	abrupt'a'j
abruptajn	abrupt'a'j'n
abruptan	abrupt'a'n
abrupte	abrupt'e
abruptis	abrupt'is
absceso	absces'o
abscesoj	absces'o'j
absciso	abscis'o
absido	absid'o
absidoj	absid'o'j
absidon	absid'o'n
absoluta	absolut'a
absolutaj	absolut'a'j
absolutajn	absolut'a'j'n
absolutan	absolut'a'n
absolute	absolut'e
absoluto	absolut'o
absoluton	absolut'o'n
absoluteco	absolut'ec'o
absolutismo	absolut'ism'o
absolutismon	absolut'ism'o'n
absolvas	absolv'as
absolvi	absolv'i
absolvis	absolv'is
absolvo	absolv'o
absolvon	absolv'o'n
absolvita	absolv'it'a
absorba	absorb'a
absorbas	absorb'as
absorbi	absorb'i
absorbis	absorb'is
absorbo	absorb'o
absorbos	absorb'os
absorbus	absorb'us
absorbado	absorb'ad'o
absorbante	absorb'ant'e
absorbiĝas	absorb'iĝ'as
absorbiĝis	absorb'iĝ'is
absorbiĝo	absorb'iĝ'o
absorbilo	absorb'il'o
absorbiloj	absorb'il'o'j
absorbita	absorb'it'a
absorbitaj	absorb'it'a'j
absorbite	absorb'it'e
abstinas	abstin'as
abstini	abstin'i
abstinis	abstin'is
abstino	abstin'o
abstinado	abstin'ad'o
abstinadon	abstin'ad'o'n
abstinulo	abstin'ul'o
abstrakta	abstrakt'a
abstraktaj	abstrakt'a'j
abstraktajn	abstrakt'a'j'n
abstraktan	abstrakt'a'n
abstrakte	abstrakt'e
abstrakti	abstrakt'i
abstraktado	abstrakt'ad'o
abstraktadoj	abstrakt'ad'o'j
abstraktadojn	abstrakt'ad'o'j'n
abstraktadon	abstrakt'ad'o'n
abstraktaĵo	abstrakt'aĵ'o
abstraktaĵoj	abstrakt'aĵ'o'j
abstraktaĵojn	abstrakt'aĵ'o'j'n
abstrakteco	abstrakt'ec'o
absurda	absurd'a
absurdaj	absurd'a'j
absurdajn	absurd'a'j'n
absurdan	absurd'a'n
absurde	absurd'e
absurdo	absurd'o
absurdon	absurd'o'n
absurdaĵo	absurd'aĵ'o
absurdaĵoj	absurd'aĵ'o'j
absurdaĵojn	absurd'aĵ'o'j'n
absurdaĵon	absurd'aĵ'o'n
absurdeco	absurd'ec'o
absurdecon	absurd'ec'o'n
abunda	abund'a
abundaj	abund'a'j
abundajn	abund'a'j'n
abundan	abund'a'n
abundas	abund'as
abunde	abund'e
abundis	abund'is
abundo	abund'o
abundon	abund'o'n
abundos	abund'os
abundeco	abund'ec'o
abundecon	abund'ec'o'n
abundega	abund'eg'a
abundegaj	abund'eg'a'j
abundegajn	abund'eg'a'j'n
abundegan	abund'eg'a'n
abundegas	abund'eg'as
abundege	abund'eg'e
abundego	abund'eg'o
abutmentoj	abutment'o'j
acera	acer'a
acero	acer'o
aceroj	acer'o'j
acerba	acerb'a
acerban	acerb'a'n
acetacido	acet'acid'o
acetaldehido	acet'aldehid'o
acetata	acet'at'a
acetato	acet'at'o
acetaton	acet'at'o'n
acetono	aceton'o
acida	acid'a
acidaj	acid'a'j
acidajn	acid'a'j'n
acidan	acid'a'n
acide	acid'e
acido	acid'o
acidoj	acid'o'j
acidojn	acid'o'j'n
acidon	acid'o'n
acideco	acid'ec'o
