ebena	eben'a
ebenaj	eben'a'j
ebenajn	eben'a'j'n
ebenan	eben'a'n
ebene	eben'e
ebeno	eben'o
ebenoj	eben'o'j
ebenojn	eben'o'j'n
ebenon	eben'o'n
ebenaĵa	eben'aĵ'a
ebenajho	eben'aĵ'o
ebenaĵo	eben'aĵ'o
ebenaĵoj	eben'aĵ'o'j
ebenaĵojn	eben'aĵ'o'j'n
ebenaĵon	eben'aĵ'o'n
ebenejo	eben'ej'o
ebenigas	eben'ig'as
ebenigi	eben'ig'i
ebenigis	eben'ig'is
ebenigado	eben'ig'ad'o
ebenigita	eben'ig'it'a
ebenigitaj	eben'ig'it'a'j
ebla	ebl'a
eblaj	ebl'a'j
eblajn	ebl'a'j'n
eblan	ebl'a'n
eblas	ebl'as
eble	ebl'e
ebli	ebl'i
eblis	ebl'is
eblo	ebl'o
ebloj	ebl'o'j
eblojn	ebl'o'j'n
eblon	ebl'o'n
eblos	ebl'os
eblu	ebl'u
eblus	ebl'us
eblaĵo	ebl'aĵ'o
ebleco	ebl'ec'o
eblecoj	ebl'ec'o'j
eblecojn	ebl'ec'o'j'n
eblecon	ebl'ec'o'n
eblemon	ebl'em'o'n
ebliga	ebl'ig'a
ebligaj	ebl'ig'a'j
ebligas	ebl'ig'as
ebligi	ebl'ig'i
ebligis	ebl'ig'is
ebligo	ebl'ig'o
ebligos	ebl'ig'os
ebligu	ebl'ig'u
ebligus	ebl'ig'us
ebligado	ebl'ig'ad'o
ebliganta	ebl'ig'ant'a
ebligantaj	ebl'ig'ant'a'j
ebligantan	ebl'ig'ant'a'n
ebligante	ebl'ig'ant'e
ebliganto	ebl'ig'ant'o
ebligita	ebl'ig'it'a
ebligitaj	ebl'ig'it'a'j
ebligite	ebl'ig'it'e
ebolo	ebol'o
ebona	ebon'a
ebono	ebon'o
ebria	ebri'a
ebriaj	ebri'a'j
ebrian	ebri'a'n
ebrias	ebri'as
ebrie	ebri'e
ebriis	ebri'is
ebrio	ebri'o
ebrioj	ebri'o'j
ebrion	ebri'o'n
ebrieco	ebri'ec'o
ebriecon	ebri'ec'o'n
ebriega	ebri'eg'a
ebrieta	ebri'et'a
ebriiga	ebri'ig'a
ebriigan	ebri'ig'a'n
ebriigas	ebri'ig'as
ebriigi	ebri'ig'i
ebriigis	ebri'ig'is
ebriiĝas	ebri'iĝ'as
ebriiĝi	ebri'iĝ'i
ebriiĝis	ebri'iĝ'is
ebriiĝo	ebri'iĝ'o
ebriiĝu	ebri'iĝ'u
ebriulo	ebri'ul'o
ebriuloj	ebri'ul'o'j
ebriulon	ebri'ul'o'n
ebura	ebur'a
eburaj	ebur'a'j
eburan	ebur'a'n
eburo	ebur'o
eburon	ebur'o'n
eburbordo	ebur'bord'o
eca	ec'a
ecaj	ec'a'j
ecan	ec'a'n
eco	ec'o
ecoj	ec'o'j
ecojn	ec'o'j'n
econ	ec'o'n
eĉ	eĉ
edo	ed'o
edoperiodo	ed'o'period'o
edemo	edem'o
edena	eden'a
edeno	eden'o
edenon	eden'o'n
edifa	edif'a
edifaj	edif'a'j
edifan	edif'a'n
edifo	edif'o
edikto	edikt'o
ediktoj	edikt'o'j
ediktojn	edikt'o'j'n
edikton	edikt'o'n
ediktita	edikt'it'a
ediloj	edil'o'j
edipo	edip'o
editoro	editor'o
edmundo	edmund'o
edro	edr'o
edroj	edr'o'j
edrojn	edr'o'j'n
eduardo	eduard'o
eduardon	eduard'o'n
eduka	eduk'a
edukaj	eduk'a'j
edukajn	eduk'a'j'n
edukan	eduk'a'n
edukas	eduk'as
eduke	eduk'e
eduki	eduk'i
edukis	eduk'is
eduko	eduk'o
edukojn	eduk'o'j'n
edukon	eduk'o'n
edukos	eduk'os
eduku	eduk'u
edukada	eduk'ad'a
edukadaj	eduk'ad'a'j
edukadi	eduk'ad'i
edukadis	eduk'ad'is
edukado	eduk'ad'o
edukadon	eduk'ad'o'n
edukante	eduk'ant'e
edukanto	eduk'ant'o
edukantoj	eduk'ant'o'j
edukata	eduk'at'a
edukataj	eduk'at'a'j
edukatino	eduk'at'in'o
edukejo	eduk'ej'o
edukejoj	eduk'ej'o'j
edukiĝas	eduk'iĝ'as
edukiĝi	eduk'iĝ'i
edukiĝis	eduk'iĝ'is
edukiĝo	eduk'iĝ'o
edukiĝon	eduk'iĝ'o'n
edukisto	eduk'ist'o
edukistoj	eduk'ist'o'j
edukistojn	eduk'ist'o'j'n
edukistino	eduk'ist'in'o
edukita	eduk'it'a
edukitaj	eduk'it'a'j
edukitajn	eduk'it'a'j'n
edukitan	eduk'it'a'n
edukiteco	eduk'it'ec'o
edukitecon	eduk'it'ec'o'n
edukministerio	eduk'ministeri'o
eduknivelo	eduk'nivel'o
edukniveloj	eduk'nivel'o'j
edukprogramo	eduk'program'o
edukprogramoj	eduk'program'o'j
edukprogramojn	eduk'program'o'j'n
eduksistemo	eduk'sistem'o
eduksistemoj	eduk'sistem'o'j
eduksistemon	eduk'sistem'o'n
edza	edz'a
edzan	edz'a'n
edzo	edz'o
edzoj	edz'o'j
edzojn	edz'o'j'n
edzon	edz'o'n
edzeca	edz'ec'a
edzecaj	edz'ec'a'j
edzecan	edz'ec'a'n
edzeco	edz'ec'o
edzecon	edz'ec'o'n
edzigi	edz'ig'i
edzigis	edz'ig'is
edzigos	edz'ig'os
edzigu	edz'ig'u
edzigita	edz'ig'it'a
edziĝa	edz'iĝ'a
edziĝas	edz'iĝ'as
edziĝi	edz'iĝ'i
edziĝis	edz'iĝ'is
edzigho	edz'iĝ'o
edziĝo	edz'iĝ'o
edziĝoj	edz'iĝ'o'j
edziĝon	edz'iĝ'o'n
edziĝos	edz'iĝ'os
edziĝu	edz'iĝ'u
edziĝus	edz'iĝ'us
edziĝanto	edz'iĝ'ant'o
edziĝfesto	edz'iĝ'fest'o
edziĝinta	edz'iĝ'int'a
edziĝintaj	edz'iĝ'int'a'j
edziĝintajn	edz'iĝ'int'a'j'n
edziĝinte	edz'iĝ'int'e
edziĝonta	edz'iĝ'ont'a
edzina	edz'in'a
edzino	edz'in'o
edzinoj	edz'in'o'j
edzinojn	edz'in'o'j'n
edzinon	edz'in'o'n
edzineco	edz'in'ec'o
edzinecon	edz'in'ec'o'n
edzineto	edz'in'et'o
edzinigas	edz'in'ig'as
edzinigi	edz'in'ig'i
edzinigis	edz'in'ig'is
edzinigo	edz'in'ig'o
edzinigos	edz'in'ig'os
edzinigu	edz'in'ig'u
edzinigita	edz'in'ig'it'a
edziniĝa	edz'in'iĝ'a
edziniĝas	edz'in'iĝ'as
edziniĝi	edz'in'iĝ'i
edziniĝis	edz'in'iĝ'is
edzinigho	edz'in'iĝ'o
edziniĝo	edz'in'iĝ'o
