fabo	fab'o
faboj	fab'o'j
fabojn	fab'o'j'n
fabacoj	fab'ac'o'j
fabela	fabel'a
fabelaj	fabel'a'j
fabelan	fabel'a'n
fabele	fabel'e
fabelo	fabel'o
fabeloj	fabel'o'j
fabelojn	fabel'o'j'n
fabelon	fabel'o'n
fabeleca	fabel'ec'a
fabelecaj	fabel'ec'a'j
fabelkonkurso	fabel'konkurs'o
fabia	fabi'a
fabian	fabi'a'n
fabio	fabi'o
fabiano	fabian'o
fablo	fabl'o
fabloj	fabl'o'j
fablojn	fabl'o'j'n
faboideoj	faboide'o'j
fabrika	fabrik'a
fabrikaj	fabrik'a'j
fabrikas	fabrik'as
fabriki	fabrik'i
fabrikis	fabrik'is
fabriko	fabrik'o
fabrikoj	fabrik'o'j
fabrikojn	fabrik'o'j'n
fabrikon	fabrik'o'n
fabrikado	fabrik'ad'o
fabrikadon	fabrik'ad'o'n
fabrikaĵo	fabrik'aĵ'o
fabrikaĵoj	fabrik'aĵ'o'j
fabrikanta	fabrik'ant'a
fabrikanto	fabrik'ant'o
fabrikantoj	fabrik'ant'o'j
fabrikata	fabrik'at'a
fabrikataj	fabrik'at'a'j
fabrikejo	fabrik'ej'o
fabrikejoj	fabrik'ej'o'j
fabrikestro	fabrik'estr'o
fabrikisto	fabrik'ist'o
fabrikistoj	fabrik'ist'o'j
fabrikita	fabrik'it'a
fabrikitaj	fabrik'it'a'j
fabrikitajn	fabrik'it'a'j'n
fabrikmarko	fabrik'mark'o
fabriksistemo	fabrik'sistem'o
fabrikterkultivado	fabrik'ter'kultiv'ad'o
fabrikvendejoj	fabrik'vend'ej'o'j
faca	fac'a
faco	fac'o
facoj	fac'o'j
faceto	fac'et'o
facetoj	fac'et'o'j
facetojn	fac'et'o'j'n
faceton	fac'et'o'n
facetita	fac'et'it'a
facila	facil'a
facilaj	facil'a'j
facilajn	facil'a'j'n
facilan	facil'a'n
facilas	facil'as
facile	facil'e
facilis	facil'is
facilo	facil'o
facilos	facil'os
facilanima	facil'anim'a
facilanimaj	facil'anim'a'j
facilanime	facil'anim'e
facilanimeco	facil'anim'ec'o
facileco	facil'ec'o
facilecon	facil'ec'o'n
facilega	facil'eg'a
facilege	facil'eg'e
faciligas	facil'ig'as
faciligi	facil'ig'i
faciligis	facil'ig'is
faciligo	facil'ig'o
faciligon	facil'ig'o'n
faciligos	facil'ig'os
faciligu	facil'ig'u
faciligus	facil'ig'us
faciligado	facil'ig'ad'o
faciliganta	facil'ig'ant'a
faciligante	facil'ig'ant'e
faciliganto	facil'ig'ant'o
faciligita	facil'ig'it'a
faciligite	facil'ig'it'e
faciliĝo	facil'iĝ'o
faciliĝon	facil'iĝ'o'n
facilmova	facil'mov'a
facilmovaj	facil'mov'a'j
facilmove	facil'mov'e
facilmoveco	facil'mov'ec'o
facilmovecon	facil'mov'ec'o'n
facilpercepto	facil'percept'o
facilpercepton	facil'percept'o'n
fadas	fad'as
fadi	fad'i
fadis	fad'is
fado	fad'o
fadilo	fad'il'o
fadilon	fad'il'o'n
fadena	faden'a
fadeno	faden'o
fadenoj	faden'o'j
fadenojn	faden'o'j'n
fadenon	faden'o'n
fadenkruco	faden'kruc'o
faetono	faeton'o
fago	fag'o
fagoj	fag'o'j
fagopiro	fagopir'o
fagoto	fagot'o
fagotoj	fagot'o'j
fagoton	fagot'o'n
fajon	faj'o'n
fajenca	fajenc'a
fajenco	fajenc'o
fajencaĵoj	fajenc'aĵ'o'j
fajfa	fajf'a
fajfas	fajf'as
fajfi	fajf'i
fajfis	fajf'is
fajfo	fajf'o
fajfoj	fajf'o'j
fajfojn	fajf'o'j'n
fajfon	fajf'o'n
fajfu	fajf'u
fajfadis	fajf'ad'is
fajfado	fajf'ad'o
fajfadon	fajf'ad'o'n
fajfanta	fajf'ant'a
fajfante	fajf'ant'e
fajfilo	fajf'il'o
fajfiloj	fajf'il'o'j
fajfilojn	fajf'il'o'j'n
fajfilon	fajf'il'o'n
fajlas	fajl'as
fajlis	fajl'is
fajlilo	fajl'il'o
fajliloj	fajl'il'o'j
fajlilon	fajl'il'o'n
fajna	fajn'a
fajnaj	fajn'a'j
fajnajn	fajn'a'j'n
fajnan	fajn'a'n
fajne	fajn'e
fajnagordi	fajn'agord'i
fajneco	fajn'ec'o
fajnega	fajn'eg'a
fajnegaj	fajn'eg'a'j
fajngrajna	fajn'grajn'a
fajnigas	fajn'ig'as
fajra	fajr'a
fajraj	fajr'a'j
fajrajn	fajr'a'j'n
fajran	fajr'a'n
fajre	fajr'e
fajris	fajr'is
fajro	fajr'o
fajroj	fajr'o'j
fajrojn	fajr'o'j'n
fajron	fajr'o'n
fajraĵoj	fajr'aĵ'o'j
fajrego	fajr'eg'o
fajregoj	fajr'eg'o'j
fajregon	fajr'eg'o'n
fajrejo	fajr'ej'o
fajrejoj	fajr'ej'o'j
fajrejon	fajr'ej'o'n
fajreris	fajr'er'is
fajrero	fajr'er'o
fajreroj	fajr'er'o'j
fajrerojn	fajr'er'o'j'n
fajreron	fajr'er'o'n
fajrestingistoj	fajr'esting'ist'o'j
fajreto	fajr'et'o
fajretoj	fajr'et'o'j
fajrigis	fajr'ig'is
fajrigilo	fajr'ig'il'o
fajrilon	fajr'il'o'n
fajrobirdo	fajr'o'bird'o
fajrobrigada	fajr'o'brigad'a
fajrobrigado	fajr'o'brigad'o
fajrobrigadoj	fajr'o'brigad'o'j
fajrobrigadon	fajr'o'brigad'o'n
fajrobrigadano	fajr'o'brigad'an'o
fajrobrigadanoj	fajr'o'brigad'an'o'j
fajrobrigadisto	fajr'o'brigad'ist'o
fajrobrigadistoj	fajr'o'brigad'ist'o'j
fajrobrigadistojn	fajr'o'brigad'ist'o'j'n
fajrolando	fajr'o'land'o
fajrolumo	fajr'o'lum'o
fajromuro	fajr'o'mur'o
fajromuroj	fajr'o'mur'o'j
fajroŝirmilo	fajr'o'ŝirm'il'o
fajroŝtalon	fajr'o'ŝtal'o'n
fajroŝtono	fajr'o'ŝton'o
fajrovulpo	fajr'o'vulp'o
fajrujo	fajr'uj'o
fajrujoj	fajr'uj'o'j
fajrujon	fajr'uj'o'n
faka	fak'a
fakaj	fak'a'j
fakajn	fak'a'j'n
fakan	fak'a'n
fake	fak'e
fako	fak'o
fakoj	fak'o'j
fakojn	fak'o'j'n
fakon	fak'o'n
fakdelegito	fak'deleg'it'o
fakestro	fak'estr'o
fakgrupo	fak'grup'o
fakgrupoj	fak'grup'o'j
fakistaj	fak'ist'a'j
fakkunsidoj	fak'kun'sid'o'j
faklernejo	fak'lern'ej'o
faklernejoj	fak'lern'ej'o'j
faklibroj	fak'libr'o'j
faklingvo	fak'lingv'o
fakliteraturo	fak'literatur'o
fakorganizita	fak'organiz'it'a
fakorganizitaj	fak'organiz'it'a'j
fakorganizitajn	fak'organiz'it'a'j'n
fakorganizitan	fak'organiz'it'a'n
fakrevuoj	fak'revu'o'j
fakscio	fak'sci'o
fakscion	fak'sci'o'n
faktermino	fak'termin'o
faktrabaj	fak'trab'a'j
fakula	fak'ul'a
fakulaj	fak'ul'a'j
fakulo	fak'ul'o
fakuloj	fak'ul'o'j
fakulojn	fak'ul'o'j'n
fakulon	fak'ul'o'n
fakularo	fak'ul'ar'o
fakulino	fak'ul'in'o
fakvorto	fak'vort'o
fakvortoj	fak'vort'o'j
fakvortaroj	fak'vort'ar'o'j
fakso	faks'o
fakson	faks'o'n
faksmaŝino	faks'maŝin'o
faksimilo	faksimil'o
fakta	fakt'a
faktaj	fakt'a'j
faktajn	fakt'a'j'n
faktan	fakt'a'n
fakte	fakt'e
fakto	fakt'o
faktoj	fakt'o'j
faktojn	fakt'o'j'n
fakton	fakt'o'n
fakteco	fakt'ec'o
faktkonflikto	fakt'konflikt'o
faktkonfliktoj	fakt'konflikt'o'j
faktkonfliktojn	fakt'konflikt'o'j'n
faktkonflikton	fakt'konflikt'o'n
faktoro	faktor'o
faktoroj	faktor'o'j
faktorojn	faktor'o'j'n
faktoron	faktor'o'n
faktoranalizo	faktor'analiz'o
faktorigas	faktor'ig'as
faktorigo	faktor'ig'o
faktorigado	faktor'ig'ad'o
faktorigita	faktor'ig'it'a
fakturas	faktur'as
fakturo	faktur'o
fakturoj	faktur'o'j
fakturojn	faktur'o'j'n
fakturon	faktur'o'n
fakturigo	faktur'ig'o
fakultata	fakultat'a
fakultato	fakultat'o
fakultatoj	fakultat'o'j
fakultatojn	fakultat'o'j'n
fakultaton	fakultat'o'n
fakultatano	fakultat'an'o
fakultatanoj	fakultat'an'o'j
fakultativa	fakultativ'a
fala	fal'a
falas	fal'as
fali	fal'i
falis	fal'is
falo	fal'o
faloj	fal'o'j
falojn	fal'o'j'n
falon	fal'o'n
falos	fal'os
falu	fal'u
falus	fal'us
faladas	fal'ad'as
faladis	fal'ad'is
falado	fal'ad'o
faladon	fal'ad'o'n
falanta	fal'ant'a
falantaj	fal'ant'a'j
falantajn	fal'ant'a'j'n
falantan	fal'ant'a'n
falante	fal'ant'e
falegis	fal'eg'is
falego	fal'eg'o
faletas	fal'et'as
faletis	fal'et'is
falfoliaj	fal'foli'a'j
faligas	fal'ig'as
faligi	fal'ig'i
faligis	fal'ig'is
faligo	fal'ig'o
faligos	fal'ig'os
faligu	fal'ig'u
faligus	fal'ig'us
faligado	fal'ig'ad'o
faliganta	fal'ig'ant'a
faligante	fal'ig'ant'e
faliginte	fal'ig'int'e
faligita	fal'ig'it'a
faligitaj	fal'ig'it'a'j
falinta	fal'int'a
falintaj	fal'int'a'j
falintajn	fal'int'a'j'n
falintan	fal'int'a'n
falinte	fal'int'e
falintoj	fal'int'o'j
falita	fal'it'a
falitaj	fal'it'a'j
falonta	fal'ont'a
falstelo	fal'stel'o
falstelon	fal'stel'o'n
falange	falang'e
falango	falang'o
falangoj	falang'o'j
falangon	falang'o'n
falbaloj	falbal'o'j
falĉas	falĉ'as
falĉi	falĉ'i
falĉis	falĉ'is
falĉado	falĉ'ad'o
falĉilo	falĉ'il'o
falĉilon	falĉ'il'o'n
falĉileto	falĉ'il'et'o
falĉita	falĉ'it'a
faldas	fald'as
faldi	fald'i
faldis	fald'is
faldo	fald'o
faldoj	fald'o'j
faldojn	fald'o'j'n
faldon	fald'o'n
faldu	fald'u
faldado	fald'ad'o
faldante	fald'ant'e
faldebla	fald'ebl'a
faldeblaj	fald'ebl'a'j
faldeblajn	fald'ebl'a'j'n
faldeblan	fald'ebl'a'n
faldfolio	fald'foli'o
faldfolion	fald'foli'o'n
faldiĝado	fald'iĝ'ad'o
faldita	fald'it'a
falditaj	fald'it'a'j
falditan	fald'it'a'n
falko	falk'o
falkoj	falk'o'j
falkon	falk'o'n
falkoformaj	falk'o'form'a'j
falklandoj	falkland'o'j
falklandinsuloj	falkland'insul'o'j
falsa	fals'a
falsaj	fals'a'j
falsajn	fals'a'j'n
falsan	fals'a'n
falsas	fals'as
false	fals'e
falsi	fals'i
falsis	fals'is
falso	fals'o
falsado	fals'ad'o
falsaĵo	fals'aĵ'o
falsaĵoj	fals'aĵ'o'j
falsaĵojn	fals'aĵ'o'j'n
falsaĵon	fals'aĵ'o'n
falseco	fals'ec'o
falsigado	fals'ig'ad'o
falsigitaj	fals'ig'it'a'j
falsistoj	fals'ist'o'j
falsita	fals'it'a
falsitaj	fals'it'a'j
falsitan	fals'it'a'n
falspruveblo	fals'pruv'ebl'o
falto	falt'o
faltoj	falt'o'j
faltojn	falt'o'j'n
faluso	falus'o
fama	fam'a
famaj	fam'a'j
famajn	fam'a'j'n
faman	fam'a'n
famas	fam'as
fame	fam'e
famis	fam'is
famo	fam'o
famoj	fam'o'j
famojn	fam'o'j'n
famon	fam'o'n
famaĵoj	fam'aĵ'o'j
famaĵojn	fam'aĵ'o'j'n
famekonata	fam'e'kon'at'a
fameco	fam'ec'o
famecon	fam'ec'o'n
famega	fam'eg'a
famegan	fam'eg'a'n
famigis	fam'ig'is
famiĝas	fam'iĝ'as
famiĝi	fam'iĝ'i
famiĝis	fam'iĝ'is
famiĝos	fam'iĝ'os
famiĝinta	fam'iĝ'int'a
famkonata	fam'kon'at'a
famkonataj	fam'kon'at'a'j
famkonatan	fam'kon'at'a'n
famulo	fam'ul'o
famuloj	fam'ul'o'j
