gabona	gabon'a
gabono	gabon'o
gabriela	gabriel'a
gabrielo	gabriel'o
gado	gad'o
gaja	gaj'a
gajaj	gaj'a'j
gajajn	gaj'a'j'n
gajan	gaj'a'n
gajas	gaj'as
gaje	gaj'e
gaji	gaj'i
gajis	gaj'is
gajo	gaj'o
gajon	gaj'o'n
gaju	gaj'u
gajeco	gaj'ec'o
gajecon	gaj'ec'o'n
gajega	gaj'eg'a
gajhumora	gaj'humor'a
gajiga	gaj'ig'a
gajigas	gaj'ig'as
gajigi	gaj'ig'i
gajigis	gaj'ig'is
gajiĝis	gaj'iĝ'is
gajna	gajn'a
gajnan	gajn'a'n
gajnas	gajn'as
gajni	gajn'i
gajnis	gajn'is
gajno	gajn'o
gajnoj	gajn'o'j
gajnojn	gajn'o'j'n
gajnon	gajn'o'n
gajnos	gajn'os
gajnu	gajn'u
gajnus	gajn'us
gajnado	gajn'ad'o
gajnanta	gajn'ant'a
gajnantaj	gajn'ant'a'j
gajnante	gajn'ant'e
gajnanto	gajn'ant'o
gajnantoj	gajn'ant'o'j
gajnigis	gajn'ig'is
gajninta	gajn'int'a
gajnintaj	gajn'int'a'j
gajninte	gajn'int'e
gajninto	gajn'int'o
gajnintoj	gajn'int'o'j
gajnintojn	gajn'int'o'j'n
gajninton	gajn'int'o'n
gajnita	gajn'it'a
gajnitaj	gajn'it'a'j
gajnitan	gajn'it'a'n
gaku	gak'u
gala	gal'a
gale	gal'e
galo	gal'o
galon	gal'o'n
galacidoj	gal'acid'o'j
galveziko	gal'vezik'o
galaksia	galaksi'a
galaksiaj	galaksi'a'j
galaksian	galaksi'a'n
galaksio	galaksi'o
galaksioj	galaksi'o'j
galaksiojn	galaksi'o'j'n
galaksion	galaksi'o'n
galanta	galant'a
galante	galant'e
galapaga	galapag'a
galapagoj	galapag'o'j
galapagos	galapag'os
galata	galat'a
galateo	galate'o
galega	galeg'a
galegan	galeg'a'n
galego	galeg'o
galegoj	galeg'o'j
galegio	galeg'i'o
galeno	galen'o
galeran	galer'a'n
galero	galer'o
galeroj	galer'o'j
galeranon	galer'an'o'n
galeria	galeri'a
galerio	galeri'o
galerioj	galeri'o'j
galeriojn	galeri'o'j'n
galerion	galeri'o'n
galia	gali'a
galio	gali'o
galicio	galici'o
galilea	galile'a
galileo	galile'o
galileon	galile'o'n
galilejo	galilej'o
galimatio	galimati'o
galinago	galinag'o
galionoj	galion'o'j
galono	galon'o
galonoj	galon'o'j
galopas	galop'as
galope	galop'e
galopi	galop'i
galopis	galop'is
galopo	galop'o
galopado	galop'ad'o
galopanta	galop'ant'a
galoŝoj	galoŝ'o'j
galoŝojn	galoŝ'o'j'n
galvani	galvan'i
galvanizis	galvan'iz'is
galvanizado	galvan'iz'ad'o
galvanizita	galvan'iz'it'a
gama	gam'a
gamaj	gam'a'j
game	gam'e
gamo	gam'o
gamoj	gam'o'j
gamojn	gam'o'j'n
gamon	gam'o'n
gamafunkcio	gam'a'funkci'o
gamaradioj	gam'a'radi'o'j
gamaradiojn	gam'a'radi'o'j'n
gamaradiado	gam'a'radi'ad'o
gamoradia	gam'o'radi'a
gamoradiaj	gam'o'radi'a'j
gamaŝoj	gamaŝ'o'j
gamba	gamb'a
gambo	gamb'o
gamboj	gamb'o'j
gambojn	gamb'o'j'n
gambon	gamb'o'n
gambio	gambi'o
gamelano	gamelan'o
gameto	gamet'o
gametoj	gamet'o'j
gametojn	gamet'o'j'n
gametofito	gametofit'o
ganaa	gana'a
ganao	gana'o
ganga	gang'a
gango	gang'o
ganglio	gangli'o
ganglioj	gangli'o'j
ganglioĉeloj	gangli'o'ĉel'o'j
gangreno	gangren'o
ganto	gant'o
gantoj	gant'o'j
gantojn	gant'o'j'n
ganton	gant'o'n
gapas	gap'as
gape	gap'e
gapi	gap'i
gapis	gap'is
gapado	gap'ad'o
gapantaj	gap'ant'a'j
gapante	gap'ant'e
garaĝa	garaĝ'a
garaĝo	garaĝ'o
garaĝon	garaĝ'o'n
garaĝita	garaĝ'it'a
garantia	garanti'a
garantiaj	garanti'a'j
garantian	garanti'a'n
garantias	garanti'as
garantii	garanti'i
garantiis	garanti'is
garantio	garanti'o
garantioj	garanti'o'j
garantiojn	garanti'o'j'n
garantion	garanti'o'n
garantios	garanti'os
garantiu	garanti'u
garantius	garanti'us
garantiado	garanti'ad'o
garantiaĵo	garanti'aĵ'o
garantiaĵon	garanti'aĵ'o'n
garantianta	garanti'ant'a
garantiante	garanti'ant'e
garantianto	garanti'ant'o
garantiata	garanti'at'a
garantiataj	garanti'at'a'j
garantiita	garanti'it'a
garantiitaj	garanti'it'a'j
garantiitan	garanti'it'a'n
garantiuloj	garanti'ul'o'j
garba	garb'a
garbo	garb'o
garboj	garb'o'j
garbojn	garb'o'j'n
garbon	garb'o'n
garbejo	garb'ej'o
garbejoj	garb'ej'o'j
garbejon	garb'ej'o'n
garda	gard'a
gardas	gard'as
garde	gard'e
gardi	gard'i
gardis	gard'is
gardo	gard'o
gardon	gard'o'n
gardos	gard'os
gardu	gard'u
gardus	gard'us
gardadis	gard'ad'is
gardado	gard'ad'o
gardadoj	gard'ad'o'j
gardadon	gard'ad'o'n
gardanĝelo	gard'anĝel'o
gardanta	gard'ant'a
gardantaj	gard'ant'a'j
gardante	gard'ant'e
gardanto	gard'ant'o
gardantoj	gard'ant'o'j
gardantojn	gard'ant'o'j'n
gardata	gard'at'a
gardataj	gard'at'a'j
gardejo	gard'ej'o
gardema	gard'em'a
gardeme	gard'em'e
gardemo	gard'em'o
gardista	gard'ist'a
gardisto	gard'ist'o
gardistoj	gard'ist'o'j
gardistojn	gard'ist'o'j'n
gardiston	gard'ist'o'n
gardistaro	gard'ist'ar'o
gardistaron	gard'ist'ar'o'n
gardistejo	gard'ist'ej'o
gardistharoj	gard'ist'har'o'j
gardita	gard'it'a
garditaj	gard'it'a'j
gardohundoj	gard'o'hund'o'j
gardostaras	gard'o'star'as
gardostaris	gard'o'star'is
gardostaranto	gard'o'star'ant'o
gardostarantoj	gard'o'star'ant'o'j
gardoturo	gard'o'tur'o
gardoturoj	gard'o'tur'o'j
gargari	gargar'i
gargojloj	gargojl'o'j
garnas	garn'as
garnis	garn'is
garnaĵo	garn'aĵ'o
garnita	garn'it'a
garnitaj	garn'it'a'j
garnituro	garnitur'o
garnizona	garnizon'a
garnizono	garnizon'o
garnizonoj	garnizon'o'j
garnizonojn	garnizon'o'j'n
garnizonon	garnizon'o'n
garnizonanta	garnizon'ant'a
garnizonantoj	garnizon'ant'o'j
garolo	garol'o
garoloj	garol'o'j
gasa	gas'a
gasaj	gas'a'j
gasajn	gas'a'j'n
gasan	gas'a'n
gasas	gas'as
gaso	gas'o
gasoj	gas'o'j
gasojn	gas'o'j'n
gason	gas'o'n
gasĉambroj	gas'ĉambr'o'j
gasdukto	gas'dukt'o
gasgeneratoro	gas'generator'o
gasgigantoj	gas'gigant'o'j
gasigado	gas'ig'ad'o
gasinterŝanĝo	gas'inter'ŝanĝ'o
gaskuŝejoj	gas'kuŝ'ej'o'j
gasmaskoj	gas'mask'o'j
gasminejoj	gas'min'ej'o'j
gasmolekuloj	gas'molekul'o'j
gasodukto	gas'o'dukt'o
gasohava	gas'o'hav'a
gasokondensata	gas'o'kondens'at'a
gasokondensataj	gas'o'kondens'at'a'j
gasonafta	gas'o'naft'a
gaspremo	gas'prem'o
gasturbino	gas'turbin'o
gasturbinoj	gas'turbin'o'j
gasvezikoj	gas'vezik'o'j
gaskono	gaskon'o
gaskonio	gaskon'i'o
gasparo	gaspar'o
gasparon	gaspar'o'n
gasta	gast'a
gastas	gast'as
gaste	gast'e
gasti	gast'i
gastis	gast'is
gasto	gast'o
gastoj	gast'o'j
gastojn	gast'o'j'n
gaston	gast'o'n
gastos	gast'os
gastado	gast'ad'o
gastama	gast'am'a
gastamaj	gast'am'a'j
gastaman	gast'am'a'n
gastame	gast'am'e
gastamo	gast'am'o
gastamon	gast'am'o'n
gastameco	gast'am'ec'o
gastejo	gast'ej'o
gastejoj	gast'ej'o'j
gastejojn	gast'ej'o'j'n
gastejon	gast'ej'o'n
gastejestro	gast'ej'estr'o
gastejestrino	gast'ej'estr'in'o
gastema	gast'em'a
gastiga	gast'ig'a
gastigaj	gast'ig'a'j
gastigan	gast'ig'a'n
gastigas	gast'ig'as
gastigi	gast'ig'i
gastigis	gast'ig'is
gastigo	gast'ig'o
gastigos	gast'ig'os
gastigado	gast'ig'ad'o
gastigadon	gast'ig'ad'o'n
gastiganta	gast'ig'ant'a
gastigantaj	gast'ig'ant'a'j
gastigantan	gast'ig'ant'a'n
gastigante	gast'ig'ant'e
gastiganto	gast'ig'ant'o
gastigantoj	gast'ig'ant'o'j
gastigantojn	gast'ig'ant'o'j'n
gastiganton	gast'ig'ant'o'n
gastigantino	gast'ig'ant'in'o
gastigantplanto	gast'ig'ant'plant'o
gastigata	gast'ig'at'a
gastigataj	gast'ig'at'a'j
gastigemo	gast'ig'em'o
gastigita	gast'ig'it'a
gastigitaj	gast'ig'it'a'j
gastignacio	gast'ig'naci'o
gastino	gast'in'o
gastinon	gast'in'o'n
gastlaboristoj	gast'labor'ist'o'j
gastlaboristojn	gast'labor'ist'o'j'n
gastlibro	gast'libr'o
gastoĉambro	gast'o'ĉambr'o
gastoĉambron	gast'o'ĉambr'o'n
gastono	gaston'o
gastra	gastr'a
gastrointesta	gastr'o'intest'a
gastrointestaj	gastr'o'intest'a'j
gastrointestajn	gastr'o'intest'a'j'n
gastronomia	gastronom'i'a
gastronomiaj	gastronom'i'a'j
gastronomio	gastronom'i'o
gastropodoj	gastropod'o'j
gaŭĉo	gaŭĉ'o
gaŭĉoj	gaŭĉ'o'j
gaŭsa	gaŭs'a
gaza	gaz'a
gazan	gaz'a'n
gazo	gaz'o
gazaa	gaza'a
gazao	gaza'o
gazaon	gaza'o'n
gazalo	gazal'o
gazelo	gazel'o
gazeloj	gazel'o'j
gazeta	gazet'a
gazetaj	gazet'a'j
gazetajn	gazet'a'j'n
gazetan	gazet'a'n
gazete	gazet'e
gazeto	gazet'o
gazetoj	gazet'o'j
gazetojn	gazet'o'j'n
gazeton	gazet'o'n
gazetara	gazet'ar'a
gazetaraj	gazet'ar'a'j
gazetarajn	gazet'ar'a'j'n
gazetaran	gazet'ar'a'n
gazetaro	gazet'ar'o
gazetaroj	gazet'ar'o'j
gazetarojn	gazet'ar'o'j'n
gazetaron	gazet'ar'o'n
gazetartikolo	gazet'artikol'o
gazetartikoloj	gazet'artikol'o'j
gazetartikolojn	gazet'artikol'o'j'n
gazetisto	gazet'ist'o
gazetistoj	gazet'ist'o'j
gazono	gazon'o
gazonoj	gazon'o'j
gazonon	gazon'o'n
gazontondilo	gazon'tond'il'o
gazontondiloj	gazon'tond'il'o'j
gdansko	gdansk'o
gea	ge'a
geo	ge'o
geaktoroj	ge'aktor'o'j
geaktorojn	ge'aktor'o'j'n
geamantoj	ge'am'ant'o'j
