habelo	habel'o
habitata	habitat'a
habitato	habitat'o
habitatoj	habitat'o'j
habitatojn	habitat'o'j'n
habitaton	habitat'o'n
habitatodetruo	habitat'o'detru'o
habitatoperdo	habitat'o'perd'o
habitatperdo	habitat'perd'o
haĉado	haĉ'ad'o
hadeso	hades'o
hadeson	hades'o'n
hadito	hadit'o
haditoj	hadit'o'j
haditon	hadit'o'n
hadronoj	hadron'o'j
hafnio	hafni'o
haga	hag'a
hagen	hag'e'n
hago	hag'o
hagiografoj	hagiograf'o'j
hagiografioj	hagiograf'i'o'j
haĝo	haĝ'o
haitia	haiti'a
haitiaj	haiti'a'j
haitian	haiti'a'n
haitio	haiti'o
haition	haiti'o'n
haitianoj	haiti'an'o'j
hajko	hajk'o
hajkoj	hajk'o'j
hajkojn	hajk'o'j'n
hajkon	hajk'o'n
hajlo	hajl'o
hajlon	hajl'o'n
hajleroj	hajl'er'o'j
hakas	hak'as
haki	hak'i
hakis	hak'is
hako	hak'o
hakoj	hak'o'j
haku	hak'u
hakadis	hak'ad'is
hakado	hak'ad'o
hakante	hak'ant'e
hakilo	hak'il'o
hakiloj	hak'il'o'j
hakilojn	hak'il'o'j'n
hakilon	hak'il'o'n
hakisto	hak'ist'o
hakistoj	hak'ist'o'j
hakiston	hak'ist'o'n
hakita	hak'it'a
hakitaj	hak'it'a'j
hakamo	hakam'o
hala	hal'a
hale	hal'e
halo	hal'o
haloj	hal'o'j
halojn	hal'o'j'n
halon	hal'o'n
haleja	hal'ej'a
haladzo	haladz'o
haleluja	haleluja
haliotoj	haliot'o'j
haloo	halo'o
halopreĝejo	halo'preĝ'ej'o
halogeno	halogen'o
halogenoj	halogen'o'j
halogenido	halogen'id'o
halogenidoj	halogen'id'o'j
haloveno	haloven'o
haltas	halt'as
halti	halt'i
haltis	halt'is
halto	halt'o
haltoj	halt'o'j
haltojn	halt'o'j'n
halton	halt'o'n
haltos	halt'os
haltu	halt'u
haltus	halt'us
haltadis	halt'ad'is
haltado	halt'ad'o
haltante	halt'ant'e
haltejo	halt'ej'o
haltejoj	halt'ej'o'j
haltejon	halt'ej'o'n
haltigas	halt'ig'as
haltigi	halt'ig'i
haltigis	halt'ig'is
haltigo	halt'ig'o
haltigon	halt'ig'o'n
haltigos	halt'ig'os
haltigu	halt'ig'u
haltigante	halt'ig'ant'e
haltigata	halt'ig'at'a
haltigebla	halt'ig'ebl'a
haltigita	halt'ig'it'a
haltigitaj	halt'ig'it'a'j
haltiĝas	halt'iĝ'as
haltinte	halt'int'e
haltita	halt'it'a
haltitaj	halt'it'a'j
haltostreko	halt'o'strek'o
halterlevo	halter'lev'o
halucina	halucin'a
halucino	halucin'o
halucinoj	halucin'o'j
halucinojn	halucin'o'j'n
halucinon	halucin'o'n
hamako	hamak'o
hamano	haman'o
hamburga	hamburg'a
hamburgo	hamburg'o
hamburgaĵon	hamburg'aĵ'o'n
hamburgero	hamburger'o
hamburgeroj	hamburger'o'j
hamburgerojn	hamburger'o'j'n
hamburgeron	hamburger'o'n
hamiltoniana	hamiltonian'a
hamstro	hamstr'o
hamstrojn	hamstr'o'j'n
hamstron	hamstr'o'n
handikapita	handikap'it'a
handikapitaj	handikap'it'a'j
