ia	i'a
iaj	i'a'j
iajn	i'a'j'n
ian	i'a'n
io	i'o
ion	i'o'n
iafoje	i'a'foj'e
iagrade	i'a'grad'e
iamaniere	i'a'manier'e
iarevanoj	i'a'rev'an'o'j
iasence	i'a'senc'e
iaspeca	i'a'spec'a
iaspecaj	i'a'spec'a'j
iaspecan	i'a'spec'a'n
ial	ial
iala	ial'a
iam	iam
iama	iam'a
iamaj	iam'a'j
iamajn	iam'a'j'n
iaman	iam'a'n
iame	iam'e
iamtiam	iam'tiam
iamajna	iam'ajn'a
iamajnakreskanta	iam'ajn'a'kresk'ant'a
iamajnakreskantan	iam'ajn'a'kresk'ant'a'n
iamajnavaria	iam'ajn'a'vari'a
ibera	iber'a
iberaj	iber'a'j
iberoj	iber'o'j
iberia	iber'i'a
iberiaj	iber'i'a'j
iberian	iber'i'a'n
iberio	iber'i'o
ibiso	ibis'o
ibisoj	ibis'o'j
ida	id'a
idaj	id'a'j
ide	id'e
ido	id'o
idoj	id'o'j
idojn	id'o'j'n
idon	id'o'n
idaro	id'ar'o
idaron	id'ar'o'n
idista	id'ist'a
idisto	id'ist'o
idistoj	id'ist'o'j
idkarto	id'kart'o
idozorgado	id'o'zorg'ad'o
idaho	idah'o
idea	ide'a
ideaj	ide'a'j
ideajn	ide'a'j'n
idean	ide'a'n
idee	ide'e
ideo	ide'o
ideoj	ide'o'j
ideojn	ide'o'j'n
ideon	ide'o'n
idearo	ide'ar'o
idearon	ide'ar'o'n
ideismo	ide'ism'o
ideologo	ide'olog'o
ideologoj	ide'olog'o'j
ideologia	ide'olog'i'a
ideologiaj	ide'olog'i'a'j
ideologiajn	ide'olog'i'a'j'n
ideologian	ide'olog'i'a'n
ideologie	ide'olog'i'e
ideologio	ide'olog'i'o
ideologioj	ide'olog'i'o'j
ideologiojn	ide'olog'i'o'j'n
ideologion	ide'olog'i'o'n
ideala	ideal'a
idealaj	ideal'a'j
idealajn	ideal'a'j'n
idealan	ideal'a'n
ideale	ideal'e
idealo	ideal'o
idealoj	ideal'o'j
idealojn	ideal'o'j'n
idealon	ideal'o'n
idealekzemplo	ideal'ekzempl'o
idealigo	ideal'ig'o
idealigita	ideal'ig'it'a
idealigitaj	ideal'ig'it'a'j
idealigitajn	ideal'ig'it'a'j'n
idealisma	ideal'ism'a
idealismaj	ideal'ism'a'j
idealisman	ideal'ism'a'n
idealisme	ideal'ism'e
idealismo	ideal'ism'o
idealismon	ideal'ism'o'n
idealista	ideal'ist'a
idealisto	ideal'ist'o
idealistoj	ideal'ist'o'j
identa	ident'a
identaj	ident'a'j
identajn	ident'a'j'n
identan	ident'a'n
identas	ident'as
idente	ident'e
idento	ident'o
identon	ident'o'n
identeca	ident'ec'a
identecan	ident'ec'a'n
identeco	ident'ec'o
identecoj	ident'ec'o'j
identecojn	ident'ec'o'j'n
identecon	ident'ec'o'n
identeckarton	ident'ec'kart'o'n
identiga	ident'ig'a
identigaj	ident'ig'a'j
identigajn	ident'ig'a'j'n
identigan	ident'ig'a'n
identigas	ident'ig'as
identigi	ident'ig'i
identigis	ident'ig'is
identigo	ident'ig'o
identigoj	ident'ig'o'j
identigon	ident'ig'o'n
identigos	ident'ig'os
identigu	ident'ig'u
identigado	ident'ig'ad'o
identigaĵo	ident'ig'aĵ'o
identigaĵoj	ident'ig'aĵ'o'j
identiganta	ident'ig'ant'a
identigante	ident'ig'ant'e
identigata	ident'ig'at'a
identigebla	ident'ig'ebl'a
