kaba	kab'a
kabaj	kab'a'j
kabe	kab'e
kabo	kab'o
kaboj	kab'o'j
kabon	kab'o'n
kablando	kab'land'o
kaboverdo	kab'o'verd'o
kabula	kab'ul'a
kabulo	kab'ul'o
kaburbo	kab'urb'o
kabalo	kabal'o
kabaloj	kabal'o'j
kabalojn	kabal'o'j'n
kabana	kaban'a
kabano	kaban'o
kabanoj	kaban'o'j
kabanojn	kaban'o'j'n
kabanon	kaban'o'n
kabaneto	kaban'et'o
kabareda	kabared'a
kabaredo	kabared'o
kabaredoj	kabared'o'j
kabareto	kabaret'o
kabeas	kabe'as
kabei	kabe'i
kabeis	kabe'is
kabeado	kabe'ad'o
kabiloj	kabil'o'j
kabilio	kabil'i'o
kabino	kabin'o
kabinaŭto	kabin'aŭt'o
kabinaŭtoj	kabin'aŭt'o'j
kabinda	kabind'a
kabindo	kabind'o
kabineta	kabinet'a
kabinetaj	kabinet'a'j
kabineto	kabinet'o
kabinetoj	kabinet'o'j
kabineton	kabinet'o'n
kabinetano	kabinet'an'o
kabinetanoj	kabinet'an'o'j
kabla	kabl'a
kablan	kabl'a'n
kablo	kabl'o
kabloj	kabl'o'j
kablojn	kabl'o'j'n
kablon	kabl'o'n
kabligaj	kabl'ig'a'j
kabligita	kabl'ig'it'a
kabloretoj	kabl'o'ret'o'j
kablotramo	kabl'o'tram'o
kabrioleto	kabriolet'o
kaco	kac'o
kacon	kac'o'n
kacho	kaĉ'o
kaĉo	kaĉ'o
kaĉon	kaĉ'o'n
kadavro	kadavr'o
kadavroj	kadavr'o'j
kadavrojn	kadavr'o'j'n
kadavron	kadavr'o'n
kadavraĵoj	kadavr'aĵ'o'j
kadavraĵojn	kadavr'aĵ'o'j'n
kadavrejo	kadavr'ej'o
kadavromanĝantoj	kadavr'o'manĝ'ant'o'j
kadenco	kadenc'o
kadencoj	kadenc'o'j
kadeto	kadet'o
kadetoj	kadet'o'j
kadio	kadi'o
kadmio	kadmi'o
kadra	kadr'a
kadraj	kadr'a'j
kadran	kadr'a'n
kadras	kadr'as
kadre	kadr'e
kadro	kadr'o
kadroj	kadr'o'j
kadrojn	kadr'o'j'n
kadron	kadr'o'n
kadrigita	kadr'ig'it'a
kadrita	kadr'it'a
kaduka	kaduk'a
kadukaj	kaduk'a'j
kadukajn	kaduk'a'j'n
kadukan	kaduk'a'n
kadukeco	kaduk'ec'o
kadukiĝa	kaduk'iĝ'a
kadukiĝas	kaduk'iĝ'as
kadukiĝi	kaduk'iĝ'i
kadukiĝis	kaduk'iĝ'is
kadukiĝo	kaduk'iĝ'o
kadukiĝon	kaduk'iĝ'o'n
kadukulo	kaduk'ul'o
kafa	kaf'a
kafo	kaf'o
kafoj	kaf'o'j
kafojn	kaf'o'j'n
kafon	kaf'o'n
kafbutikoj	kaf'butik'o'j
kafeja	kaf'ej'a
kafejo	kaf'ej'o
kafejoj	kaf'ej'o'j
kafejojn	kaf'ej'o'j'n
kafejon	kaf'ej'o'n
kafpaŭzo	kaf'paŭz'o
kafujo	kaf'uj'o
kafumi	kaf'um'i
kafumado	kaf'um'ad'o
kafeino	kafein'o
kafeinon	kafein'o'n
kafeterio	kafeteri'o
kaftano	kaftan'o
kaĝo	kaĝ'o
kaĝoj	kaĝ'o'j
kaĝojn	kaĝ'o'j'n
kaĝon	kaĝ'o'n
kahelo	kahel'o
kaheloj	kahel'o'j
kahelojn	kahel'o'j'n
kahelon	kahel'o'n
kahelaro	kahel'ar'o
kahelaroj	kahel'ar'o'j
kaj	kaj
kaja	kaj'a
kajaŭ	kaj'aŭ
kajo	kaj'o
kajoj	kaj'o'j
kajon	kaj'o'n
kajako	kajak'o
kajakoj	kajak'o'j
kajero	kajer'o
kajeroj	kajer'o'j
kajerojn	kajer'o'j'n
kajeron	kajer'o'n
kajereto	kajer'et'o
kajmana	kajman'a
kajta	kajt'a
kajtan	kajt'a'n
kajto	kajt'o
kajtoj	kajt'o'j
kajtojn	kajt'o'j'n
kajton	kajt'o'n
kajuto	kajut'o
kajutoj	kajut'o'j
kajuton	kajut'o'n
kaĵolas	kaĵol'as
kakao	kaka'o
kakaoj	kaka'o'j
kakatuo	kakatu'o
kakatuoj	kakatu'o'j
kakofonio	kakofoni'o
kakto	kakt'o
kaktoj	kakt'o'j
kaktojn	kakt'o'j'n
kala	kal'a
kalo	kal'o
kaloj	kal'o'j
kalabaso	kalabas'o
kalamo	kalam'o
kalcedono	kalcedon'o
kalcedonio	kalcedon'i'o
kalcia	kalci'a
kalciaj	kalci'a'j
kalcian	kalci'a'n
kalcio	kalci'o
kalcion	kalci'o'n
kalcikarbonato	kalci'karbon'at'o
kalciojonoj	kalci'ojon'o'j
kalcinado	kalcin'ad'o
kalcito	kalcit'o
kaldrono	kaldron'o
kaldronoj	kaldron'o'j
kaldronojn	kaldron'o'j'n
kaldronon	kaldron'o'n
kaldronego	kaldron'eg'o
kalejdoskopoj	kalejdoskop'o'j
kalendara	kalendar'a
kalendaran	kalendar'a'n
kalendaro	kalendar'o
kalendaroj	kalendar'o'j
kalendarojn	kalendar'o'j'n
kalendaron	kalendar'o'n
kaleŝo	kaleŝ'o
kaleŝoj	kaleŝ'o'j
kaleŝon	kaleŝ'o'n
kaleŝoĉevalo	kaleŝ'o'ĉeval'o
kalevala	kalevala
kalia	kali'a
kaliaj	kali'a'j
kalian	kali'a'n
kalio	kali'o
kalion	kali'o'n
kaliokanaloj	kali'o'kanal'o'j
kalibro	kalibr'o
kalibroj	kalibr'o'j
kalibrita	kalibr'it'a
kalibritaj	kalibr'it'a'j
kalidono	kalidon'o
kalifo	kalif'o
kalifoj	kalif'o'j
kalifon	kalif'o'n
kaliflando	kalif'land'o
kalifujo	kalif'uj'o
kalifujon	kalif'uj'o'n
kalifornia	kaliforni'a
kaliforniaj	kaliforni'a'j
kalifornian	kaliforni'a'n
kalifornio	kaliforni'o
kalifornion	kaliforni'o'n
kaligrafa	kaligraf'a
kaligrafado	kaligraf'ad'o
kaligrafaĵoj	kaligraf'aĵ'o'j
kaligrafaĵojn	kaligraf'aĵ'o'j'n
kaligrafio	kaligraf'i'o
kaligrafion	kaligraf'i'o'n
kaligulo	kaligul'o
kaliko	kalik'o
kalikoj	kalik'o'j
kalikojn	kalik'o'j'n
kalikon	kalik'o'n
kalikoto	kalikot'o
kalimantano	kalimantan'o
kaliningrada	kaliningrad'a
kaliningradaj	kaliningrad'a'j
kaliningrado	kaliningrad'o
kaliningradanoj	kaliningrad'an'o'j
kalka	kalk'a
kalkaj	kalk'a'j
kalkis	kalk'is
kalko	kalk'o
kalkon	kalk'o'n
kalkalpoj	kalk'alp'o'j
kalkeca	kalk'ec'a
kalkecaj	kalk'ec'a'j
kalkiĝo	kalk'iĝ'o
kalkoŝtona	kalk'o'ŝton'a
kalkoŝtonaj	kalk'o'ŝton'a'j
kalkoŝtono	kalk'o'ŝton'o
kalkoŝtonoj	kalk'o'ŝton'o'j
kalkŝtona	kalk'ŝton'a
kalkŝtono	kalk'ŝton'o
kalkŝtonoj	kalk'ŝton'o'j
kalkŝtonon	kalk'ŝton'o'n
kalkano	kalkan'o
kalkanoj	kalkan'o'j
kalkanojn	kalkan'o'j'n
kalkanon	kalkan'o'n
kalkanumo	kalkan'um'o
kalkanumoj	kalkan'um'o'j
kalkanumojn	kalkan'um'o'j'n
kalkula	kalkul'a
kalkulaj	kalkul'a'j
kalkulas	kalkul'as
kalkuli	kalkul'i
kalkulis	kalkul'is
kalkulo	kalkul'o
kalkuloj	kalkul'o'j
kalkulojn	kalkul'o'j'n
