macojn	mac'o'j'n
maciso	macis'o
maĉas	maĉ'as
maĉi	maĉ'i
maĉis	maĉ'is
maĉo	maĉ'o
maĉon	maĉ'o'n
maĉado	maĉ'ad'o
maĉante	maĉ'ant'e
maĉeto	maĉ'et'o
maĉetoj	maĉ'et'o'j
maĉgumo	maĉ'gum'o
maĉgumon	maĉ'gum'o'n
maĉeto	maĉet'o
maĉetoj	maĉet'o'j
maĉupikĉuo	maĉupikĉu'o
madagaskara	madagaskar'a
madagaskaraj	madagaskar'a'j
madagaskaro	madagaskar'o
madejro	madejr'o
madono	madon'o
madonoj	madon'o'j
madonon	madon'o'n
madrigaloj	madrigal'o'j
mafia	mafi'a
mafiaj	mafi'a'j
mafio	mafi'o
mafioj	mafi'o'j
mafion	mafi'o'n
mago	mag'o
magoj	mag'o'j
magazeno	magazen'o
magazenoj	magazen'o'j
magazenojn	magazen'o'j'n
magazenon	magazen'o'n
magazine	magazin'e
magazino	magazin'o
magazinoj	magazin'o'j
magazinojn	magazin'o'j'n
magazinon	magazin'o'n
magdalena	magdalen'a
magdaleno	magdalen'o
magdeburgo	magdeburg'o
magelana	magelan'a
magelano	magelan'o
magia	magi'a
magiaj	magi'a'j
magiajn	magi'a'j'n
magian	magi'a'n
magie	magi'e
magio	magi'o
magion	magi'o'n
magiaĵojn	magi'aĵ'o'j'n
magiaĵon	magi'aĵ'o'n
magiiloj	magi'il'o'j
magiisto	magi'ist'o
magiistoj	magi'ist'o'j
magiiston	magi'ist'o'n
magiulino	magi'ul'in'o
magistra	magistr'a
magistran	magistr'a'n
magistro	magistr'o
magistroj	magistr'o'j
magistrojn	magistr'o'j'n
magistron	magistr'o'n
magistriĝis	magistr'iĝ'is
magistrato	magistrat'o
magistratoj	magistrat'o'j
magistratojn	magistrat'o'j'n
magistratano	magistrat'an'o
magistratanoj	magistrat'an'o'j
maglevo	maglev'o
magma	magm'a
magmaj	magm'a'j
magmo	magm'o
magnato	magnat'o
magnatoj	magnat'o'j
magneta	magnet'a
magnetaj	magnet'a'j
magnetajn	magnet'a'j'n
magnetan	magnet'a'n
magnete	magnet'e
magneto	magnet'o
magnetoj	magnet'o'j
magnetojn	magnet'o'j'n
magneton	magnet'o'n
magnetado	magnet'ad'o
magnetigo	magnet'ig'o
magnetigon	magnet'ig'o'n
magnetigita	magnet'ig'it'a
magnetismo	magnet'ism'o
magnetismon	magnet'ism'o'n
magnetito	magnetit'o
magnetofono	magnetofon'o
magnetofonoj	magnetofon'o'j
magnetofonon	magnetofon'o'n
magnetosfero	magnetosfer'o
magnetrono	magnetron'o
magnezia	magnezi'a
magnezio	magnezi'o
magnezion	magnezi'o'n
magnitudo	magnitud'o
magnolia	magnoli'a
magnolio	magnoli'o
magnolioj	magnoli'o'j
magra	magr'a
magraj	magr'a'j
magran	magr'a'n
magrebaj	magreb'a'j
magrebo	magreb'o
maĝango	maĝang'o
maĝangon	maĝang'o'n
mahabarato	mahabarat'o
mahagono	mahagon'o
mahajana	mahajan'a
mahajanaj	mahajan'a'j
mahajano	mahajan'o
mahometo	mahomet'o
mahometana	mahomet'an'a
mahometanaj	mahomet'an'a'j
mahometano	mahomet'an'o
mahometanoj	mahomet'an'o'j
maĥo	maĥ'o
maiza	maiz'a
maizaj	maiz'a'j
maizan	maiz'a'n
maizo	maiz'o
maizoj	maiz'o'j
maizojn	maiz'o'j'n
maizon	maiz'o'n
maizfaruno	maiz'farun'o
maizsiropo	maiz'sirop'o
maja	maj'a
majaj	maj'a'j
majan	maj'a'n
maje	maj'e
majo	maj'o
majon	maj'o'n
majojunio	maj'o'juni'o
majaa	maja'a
majaaj	maja'a'j
majaoj	maja'o'j
majenca	majenc'a
majenco	majenc'o
majesta	majest'a
majestaj	majest'a'j
majestajn	majest'a'j'n
majestan	majest'a'n
majestas	majest'as
majeste	majest'e
majesto	majest'o
majeston	majest'o'n
majesteco	majest'ec'o
majestecon	majest'ec'o'n
majno	majn'o
majonezo	majonez'o
majonezon	majonez'o'n
majora	major'a
majoraj	major'a'j
majoro	major'o
majoroj	major'o'j
majoron	major'o'n
majorino	major'in'o
majoratulo	majorat'ul'o
majoritata	majoritat'a
majoritataj	majoritat'a'j
majoritate	majoritat'e
majoritato	majoritat'o
majoritaton	majoritat'o'n
majoto	majot'o
majstra	majstr'a
majstraj	majstr'a'j
majstrajn	majstr'a'j'n
majstran	majstr'a'n
majstras	majstr'as
majstre	majstr'e
majstri	majstr'i
majstris	majstr'is
majstro	majstr'o
majstroj	majstr'o'j
majstrojn	majstr'o'j'n
majstron	majstr'o'n
majstrado	majstr'ad'o
majstradon	majstr'ad'o'n
majstraĵo	majstr'aĵ'o
majstraĵoj	majstr'aĵ'o'j
majstraĵon	majstr'aĵ'o'n
majstreco	majstr'ec'o
majstrecon	majstr'ec'o'n
majstrino	majstr'in'o
majstroverko	majstr'o'verk'o
majstroverkoj	majstr'o'verk'o'j
majuskla	majuskl'a
majusklaj	majuskl'a'j
majuskle	majuskl'e
majusklo	majuskl'o
majuskloj	majuskl'o'j
majusklojn	majuskl'o'j'n
majusklon	majuskl'o'n
maĵora	maĵor'a
maĵoraj	maĵor'a'j
maĵoran	maĵor'a'n
maĵoro	maĵor'o
makao	maka'o
makabeoj	makabe'o'j
makabra	makabr'a
makabran	makabr'a'n
makako	makak'o
makakoj	makak'o'j
makaronioj	makaroni'o'j
makaroniojn	makaroni'o'j'n
makedona	makedon'a
makedonaj	makedon'a'j
makedonajn	makedon'a'j'n
makedonan	makedon'a'n
makedono	makedon'o
makedonoj	makedon'o'j
makedonojn	makedon'o'j'n
makedonio	makedon'i'o
makedonion	makedon'i'o'n
makedonujo	makedon'uj'o
makiavelo	makiavel'o
makintoŝo	makintoŝ'o
makintoŝoj	makintoŝ'o'j
makiso	makis'o
makisanoj	makis'an'o'j
makleristo	makler'ist'o
makleristoj	makler'ist'o'j
makroo	makro'o
makrooj	makro'o'j
makroojn	makro'o'j'n
makroekonomia	makro'ekonomi'a
makroekonomiaj	makro'ekonomi'a'j
makroekonomio	makro'ekonomi'o
makrokosmo	makro'kosm'o
makromolekuloj	makro'molekul'o'j
makrosocio	makro'soci'o
makrofagoj	makrofag'o'j
makropsio	makropsi'o
maksimo	maksim'o
maksimoj	maksim'o'j
maksimojn	maksim'o'j'n
maksimon	maksim'o'n
maksimiliano	maksimilian'o
maksimuma	maksimum'a
maksimumaj	maksimum'a'j
maksimumajn	maksimum'a'j'n
maksimuman	maksimum'a'n
maksimume	maksimum'e
maksimumo	maksimum'o
maksimumoj	maksimum'o'j
maksimumon	maksimum'o'n
maksimumigas	maksimum'ig'as
maksimumigi	maksimum'ig'i
maksimumigado	maksimum'ig'ad'o
maksimumigante	maksimum'ig'ant'e
maksimumigita	maksimum'ig'it'a
maksimumnombro	maksimum'nombr'o
makula	makul'a
makulaj	makul'a'j
makulan	makul'a'n
makulas	makul'as
makuli	makul'i
makulis	makul'is
makulo	makul'o
makuloj	makul'o'j
makulojn	makul'o'j'n
makulon	makul'o'n
makulado	makul'ad'o
makuleca	makul'ec'a
makulego	makul'eg'o
makulegoj	makul'eg'o'j
makuleto	makul'et'o
makuletoj	makul'et'o'j
makuletojn	makul'et'o'j'n
makuleton	makul'et'o'n
makuleteco	makul'et'ec'o
makulhieno	makul'hien'o
makulhienoj	makul'hien'o'j
makulita	makul'it'a
makulitaj	makul'it'a'j
makulitajn	makul'it'a'j'n
makulitan	makul'it'a'n
makzelo	makzel'o
makzeloj	makzel'o'j
makzelojn	makzel'o'j'n
makzelon	makzel'o'n
mala	mal'a
malaj	mal'a'j
malajn	mal'a'j'n
malan	mal'a'n
malantau	mal'antaŭ
malantaŭ	mal'antaŭ
male	mal'e
malkiel	mal'kiel
malo	mal'o
maloj	mal'o'j
malon	mal'o'n
malplej	mal'plej
malpli	mal'pli
malsuper	mal'super
maltro	mal'tro
malabunda	mal'abund'a
malabundaj	mal'abund'a'j
malabundajn	mal'abund'a'j'n
malabundan	mal'abund'a'n
malabundas	mal'abund'as
malabunde	mal'abund'e
malabundo	mal'abund'o
malabundoj	mal'abund'o'j
malabundeco	mal'abund'ec'o
maladekvata	mal'adekvat'a
malafabla	mal'afabl'a
malafablaj	mal'afabl'a'j
malafablajn	mal'afabl'a'j'n
malafablan	mal'afabl'a'n
malafable	mal'afabl'e
malagnoskas	mal'agnosk'as
malagnoski	mal'agnosk'i
malagnoskis	mal'agnosk'is
malagrabla	mal'agrabl'a
malagrablaj	mal'agrabl'a'j
malagrablajn	mal'agrabl'a'j'n
malagrablan	mal'agrabl'a'n
malagrable	mal'agrabl'e
malagrablaĵo	mal'agrabl'aĵ'o
malagrablaĵoj	mal'agrabl'aĵ'o'j
malagrablaĵojn	mal'agrabl'aĵ'o'j'n
malagrablaĵon	mal'agrabl'aĵ'o'n
malakcelas	mal'akcel'as
malakceli	mal'akcel'i
malakceliĝo	mal'akcel'iĝ'o
malakceliĝon	mal'akcel'iĝ'o'n
malakceptas	mal'akcept'as
malakcepti	mal'akcept'i
malakceptis	mal'akcept'is
malakcepto	mal'akcept'o
malakceptoj	mal'akcept'o'j
malakcepton	mal'akcept'o'n
malakceptos	mal'akcept'os
malakceptu	mal'akcept'u
malakceptus	mal'akcept'us
malakceptante	mal'akcept'ant'e
malakceptata	mal'akcept'at'a
malakceptebla	mal'akcept'ebl'a
malakceptita	mal'akcept'it'a
malakceptitaj	mal'akcept'it'a'j
malakorda	mal'akord'a
malakordas	mal'akord'as
malakordo	mal'akord'o
malakordoj	mal'akord'o'j
malakordojn	mal'akord'o'j'n
malakordon	mal'akord'o'n
malakra	mal'akr'a
malakraj	mal'akr'a'j
malakran	mal'akr'a'n
malakre	mal'akr'e
malakreco	mal'akr'ec'o
malakrigas	mal'akr'ig'as
malakrigi	mal'akr'ig'i
malakriĝis	mal'akr'iĝ'is
malaktiva	mal'aktiv'a
malaktive	mal'aktiv'e
malaktivigas	mal'aktiv'ig'as
