oj	o'j
ofinaĵo	o'fin'aĵ'o
ofinaĵon	o'fin'aĵ'o'n
oformo	o'form'o
ovorta	o'vort'a
ovortaj	o'vort'a'j
ovortan	o'vort'a'n
ovorto	o'vort'o
ovortoj	o'vort'o'j
ovortojn	o'vort'o'j'n
ovorton	o'vort'o'n
ovorteca	o'vort'ec'a
ovortecaj	o'vort'ec'a'j
ovortece	o'vort'ec'e
oazo	oaz'o
oazoj	oaz'o'j
oazon	oaz'o'n
obea	obe'a
obeas	obe'as
obee	obe'e
obei	obe'i
obeis	obe'is
obeo	obe'o
obeon	obe'o'n
obeos	obe'os
obeu	obe'u
obeus	obe'us
obeado	obe'ad'o
obeadon	obe'ad'o'n
obeanta	obe'ant'a
obeantaj	obe'ant'a'j
obeante	obe'ant'e
obeata	obe'at'a
obeema	obe'em'a
obeemaj	obe'em'a'j
obeemajn	obe'em'a'j'n
obeeman	obe'em'a'n
obeeme	obe'em'e
obeemo	obe'em'o
obeemon	obe'em'o'n
obeigas	obe'ig'as
obeigi	obe'ig'i
obeigo	obe'ig'o
obeintus	obe'int'us
obeita	obe'it'a
obelisko	obelisk'o
obeliskoj	obelisk'o'j
obeza	obez'a
obezaj	obez'a'j
obezeco	obez'ec'o
obezecon	obez'ec'o'n
objekta	objekt'a
objektaj	objekt'a'j
objektan	objekt'a'n
objekto	objekt'o
objektoj	objekt'o'j
objektojn	objekt'o'j'n
objekton	objekt'o'n
objektema	objekt'em'a
objektigado	objekt'ig'ad'o
objektorientita	objekt'orient'it'a
objektorientitaj	objekt'orient'it'a'j
objektiva	objektiv'a
objektivaj	objektiv'a'j
objektivajn	objektiv'a'j'n
objektivan	objektiv'a'n
objektive	objektiv'e
objektivo	objektiv'o
objektivoj	objektiv'o'j
objektivojn	objektiv'o'j'n
objektivon	objektiv'o'n
objektiveco	objektiv'ec'o
objektivecon	objektiv'ec'o'n
objektivigado	objektiv'ig'ad'o
objektivismo	objektiv'ism'o
obĵetas	obĵet'as
