uverbo	u'verb'o
uea	uea
ueailei	uea'ilei
ueatejo	uea'tejo
ueaano	uea'an'o
ueaanoj	uea'an'o'j
ueaestraro	uea'estr'ar'o
ueaestrarano	uea'estr'ar'an'o
ueaestraranoj	uea'estr'ar'an'o'j
ueagvidantoj	uea'gvid'ant'o'j
ueakomitato	uea'komitat'o
ueakonto	uea'kont'o
ueamembroj	uea'membr'o'j
ueaprezidanto	uea'prezid'ant'o
uedo	ued'o
uganda	ugand'a
ugando	ugand'o
ujo	uj'o
ujoj	uj'o'j
ujojn	uj'o'j'n
ujon	uj'o'n
ukazo	ukaz'o
ukraina	ukrain'a
ukrainaj	ukrain'a'j
ukrainajn	ukrain'a'j'n
ukrainan	ukrain'a'n
ukraine	ukrain'e
ukraino	ukrain'o
ukrainoj	ukrain'o'j
ukrainanoj	ukrain'an'o'j
ukrainia	ukrain'i'a
ukrainiaj	ukrain'i'a'j
ukrainian	ukrain'i'a'n
ukrainio	ukrain'i'o
ukrainion	ukrain'i'o'n
ukrainujo	ukrain'uj'o
ukrajna	ukrajn'a
ukrajno	ukrajn'o
ula	ul'a
ulo	ul'o
uloj	ul'o'j
ulojn	ul'o'j'n
ulon	ul'o'n
ulaĉo	ul'aĉ'o
ulaĉoj	ul'aĉ'o'j
ularo	ul'ar'o
uleto	ul'et'o
ulino	ul'in'o
ulinoj	ul'in'o'j
ulinon	ul'in'o'n
ulanbatoro	ulanbator'o
ulcero	ulcer'o
ulceroj	ulcer'o'j
ulcerojn	ulcer'o'j'n
ulemo	ulem'o
uliso	ulis'o
ulmo	ulm'o
ulmoj	ulm'o'j
ulno	uln'o
ulnoj	uln'o'j
ulnojn	uln'o'j'n
ulnon	uln'o'n
ultimate	ultimat'e
ultimato	ultimat'o
ultimaton	ultimat'o'n
ultra	ultra
ultrasona	ultra'son'a
ultrasono	ultra'son'o
ultrasonon	ultra'son'o'n
ultrasonografio	ultra'son'o'graf'i'o
ultraviola	ultra'viol'a
ultraviolaj	ultra'viol'a'j
ultraviolan	ultra'viol'a'n
ululas	ulul'as
ululo	ulul'o
ululoj	ulul'o'j
umas	um'as
umi	um'i
umis	um'is
umo	um'o
umadis	um'ad'is
umado	um'ad'o
umajadoj	umajad'o'j
umbando	umband'o
umbelo	umbel'o
umbeloj	umbel'o'j
umbilika	umbilik'a
umbiliko	umbilik'o
umbilikon	umbilik'o'n
umbilikkordosango	umbilik'kord'o'sang'o
umea	ume'a
umeo	ume'o
umea	umea
umlaŭto	umlaŭt'o
