vada	vad'a
vadaj	vad'a'j
vadas	vad'as
vade	vad'e
vadi	vad'i
vadis	vad'is
vado	vad'o
vadoj	vad'o'j
vadadis	vad'ad'is
vadado	vad'ad'o
vadante	vad'ant'e
vadanti	vad'ant'i
vadbaseno	vad'basen'o
vadbirdo	vad'bird'o
vadbirdoj	vad'bird'o'j
vadbirdojn	vad'bird'o'j'n
vadbotoj	vad'bot'o'j
vadejo	vad'ej'o
vadejoj	vad'ej'o'j
vadejon	vad'ej'o'n
vaditaj	vad'it'a'j
vadmaraj	vad'mar'a'j
vadmaro	vad'mar'o
vadmaroj	vad'mar'o'j
vadmigrado	vad'migr'ad'o
vadomaro	vad'omar'o
vadpantalono	vad'pantalon'o
vaduzo	vad'uz'o
vafla	vafl'a
vaflo	vafl'o
vafloj	vafl'o'j
vaflojn	vafl'o'j'n
vaflon	vafl'o'n
vafleton	vafl'et'o'n
vaflilon	vafl'il'o'n
vaflita	vafl'it'a
vaflitaj	vafl'it'a'j
vaflobakilon	vafl'o'bak'il'o'n
vaflomanĝado	vafl'o'manĝ'ad'o
vaflostrukturitaj	vafl'o'struktur'it'a'j
vaflofero	vafl'ofer'o
vafloferojn	vafl'ofer'o'j'n
vaga	vag'a
vagaj	vag'a'j
vagan	vag'a'n
vagas	vag'as
vage	vag'e
vagi	vag'i
vagis	vag'is
vago	vag'o
vagoj	vag'o'j
vagos	vag'os
vagu	vag'u
vagus	vag'us
vagaĉas	vag'aĉ'as
vagada	vag'ad'a
vagadan	vag'ad'a'n
vagadas	vag'ad'as
vagadi	vag'ad'i
vagadis	vag'ad'is
vagado	vag'ad'o
vagadoj	vag'ad'o'j
vagadojn	vag'ad'o'j'n
vagadon	vag'ad'o'n
vagados	vag'ad'os
vagadu	vag'ad'u
vagadus	vag'ad'us
vagademo	vag'ad'em'o
vagadia	vag'ad'i'a
vagalbatroso	vag'albatros'o
vagalbatrosoj	vag'albatros'o'j
vaganta	vag'ant'a
vagantaj	vag'ant'a'j
vagantajn	vag'ant'a'j'n
vagantan	vag'ant'a'n
vagante	vag'ant'e
vaganto	vag'ant'o
vagantoj	vag'ant'o'j
vagantojn	vag'ant'o'j'n
vaganton	vag'ant'o'n
vagantecan	vag'ant'ec'a'n
vaganteco	vag'ant'ec'o
vaganttrupoj	vag'ant'trup'o'j
vagbirdo	vag'bird'o
vageco	vag'ec'o
vagecon	vag'ec'o'n
vagema	vag'em'a
vagemaj	vag'em'a'j
vagemo	vag'em'o
vaghundo	vag'hund'o
vagilon	vag'il'o'n
vaginta	vag'int'a
vaginte	vag'int'e
vagisto	vag'ist'o
vagiston	vag'ist'o'n
vaglumo	vag'lum'o
vagobranĉoj	vag'o'branĉ'o'j
vagobranĉojn	vag'o'branĉ'o'j'n
vagolernantoj	vag'o'lern'ant'o'j
vagotomio	vag'o'tom'i'o
vagojaroj	vag'ojar'o'j
vagrigardi	vag'rigard'i
vagulo	vag'ul'o
vaguloj	vag'ul'o'j
vagulon	vag'ul'o'n
vagvendisto	vag'vend'ist'o
vagabonda	vagabond'a
vagabondaj	vagabond'a'j
vagabondas	vagabond'as
vagabondi	vagabond'i
vagabondis	vagabond'is
vagabondo	vagabond'o
vagabondoj	vagabond'o'j
vagabondojn	vagabond'o'j'n
vagabondon	vagabond'o'n
vagabondante	vagabond'ant'e
vagabondeco	vagabond'ec'o
vagina	vagin'a
vaginaj	vagin'a'j
vaginajn	vagin'a'j'n
vaginan	vagin'a'n
vagine	vagin'e
vagino	vagin'o
vaginoj	vagin'o'j
vaginojn	vagin'o'j'n
vaginon	vagin'o'n
vagona	vagon'a
vagonan	vagon'a'n
vagono	vagon'o
vagonoj	vagon'o'j
vagonojn	vagon'o'j'n
vagonon	vagon'o'n
vagonara	vagon'ar'a
vagonare	vagon'ar'e
vagonaro	vagon'ar'o
vagonaroj	vagon'ar'o'j
vagonarojn	vagon'ar'o'j'n
vagonaron	vagon'ar'o'n
vagonarpramo	vagon'ar'pram'o
vagoneto	vagon'et'o
vagonetoj	vagon'et'o'j
vagonetisto	vagon'et'ist'o
vagonradoj	vagon'rad'o'j
vagonŝanĝo	vagon'ŝanĝ'o
vajco	vajc'o
vajcoj	vajc'o'j
vaka	vak'a
vakaj	vak'a'j
vakajn	vak'a'j'n
vakan	vak'a'n
vakas	vak'as
vake	vak'e
vakis	vak'is
vako	vak'o
vakoj	vak'o'j
vakon	vak'o'n
vakanta	vak'ant'a
vakantaj	vak'ant'a'j
vakantajn	vak'ant'a'j'n
vakantan	vak'ant'a'n
vakantaĵo	vak'ant'aĵ'o
vakantaĵoj	vak'ant'aĵ'o'j
vakantaĵojn	vak'ant'aĵ'o'j'n
vakantaĵon	vak'ant'aĵ'o'n
vakanteco	vak'ant'ec'o
vakeco	vak'ec'o
vakejon	vak'ej'o'n
vakigas	vak'ig'as
vakigi	vak'ig'i
vakigis	vak'ig'is
vakigos	vak'ig'os
vakigita	vak'ig'it'a
vakigitaj	vak'ig'it'a'j
vakigitan	vak'ig'it'a'n
vakkapa	vak'kap'a
vakstolaj	vak'stol'a'j
vakstolo	vak'stol'o
vakstolaĵo	vak'stol'aĵ'o
vakajamo	vakajam'o
vakareso	vakares'o
vakcina	vakcin'a
vakcinan	vakcin'a'n
vakcinas	vakcin'as
vakcini	vakcin'i
vakcinis	vakcin'is
vakcino	vakcin'o
vakcinoj	vakcin'o'j
vakcinojn	vakcin'o'j'n
vakcinon	vakcin'o'n
vakcinado	vakcin'ad'o
vakcinadoj	vakcin'ad'o'j
vakcinadojn	vakcin'ad'o'j'n
vakcinadon	vakcin'ad'o'n
vakcinadkampanjo	vakcin'ad'kampanj'o
vakcinadkampanjojn	vakcin'ad'kampanj'o'j'n
vakcinadprogramo	vakcin'ad'program'o
vakcinaĵo	vakcin'aĵ'o
vakcinante	vakcin'ant'e
vakcinata	vakcin'at'a
vakcinataj	vakcin'at'a'j
vakcinigas	vakcin'ig'as
vakcinigi	vakcin'ig'i
vakcinigis	vakcin'ig'is
vakcinigus	vakcin'ig'us
vakciniĝi	vakcin'iĝ'i
vakciniĝis	vakcin'iĝ'is
vakcinita	vakcin'it'a
vakcinitaj	vakcin'it'a'j
vakcinitoj	vakcin'it'o'j
vakcinkandidatoj	vakcin'kandidat'o'j
vakcinorilata	vakcin'o'rilat'a
vakcinorilataj	vakcin'o'rilat'a'j
vakcinio	vakcini'o
vakcinioj	vakcini'o'j
vakciniojn	vakcini'o'j'n
vakera	vaker'a
vakeraj	vaker'a'j
vakerajn	vaker'a'j'n
vakeran	vaker'a'n
vakero	vaker'o
vakeroj	vaker'o'j
vakerojn	vaker'o'j'n
vakeron	vaker'o'n
vakerĉapelo	vaker'ĉapel'o
vakerĉapelon	vaker'ĉapel'o'n
vakerfilmojn	vaker'film'o'j'n
vakerfilmon	vaker'film'o'n
vaksa	vaks'a
vaksaj	vaks'a'j
vaksajn	vaks'a'j'n
vaksan	vaks'a'n
vaksas	vaks'as
vakse	vaks'e
vaksi	vaks'i
vaksis	vaks'is
vakso	vaks'o
vaksoj	vaks'o'j
vaksojn	vaks'o'j'n
vakson	vaks'o'n
vaksos	vaks'os
vaksaĵo	vaks'aĵ'o
vaksaĵoj	vaks'aĵ'o'j
vaksaĵojn	vaks'aĵ'o'j'n
vaksante	vaks'ant'e
vakseca	vaks'ec'a
vaksecaj	vaks'ec'a'j
vaksecan	vaks'ec'a'n
vaksfiguro	vaks'figur'o
vaksfigurojn	vaks'figur'o'j'n
vaksflava	vaks'flav'a
vakshaŭto	vaks'haŭt'o
vaksita	vaks'it'a
vaksitaj	vaks'it'a'j
vakskandelo	vaks'kandel'o
vakskandeloj	vaks'kandel'o'j
vakskandelojn	vaks'kandel'o'j'n
vakskandelon	vaks'kandel'o'n
vaksokandela	vaks'o'kandel'a
vaksootablojdo	vaks'o'o'tablojd'o
vaksotinkturaĵoj	vaks'o'tinktur'aĵ'o'j
vakstabelon	vaks'tabel'o'n
vakstabuloj	vaks'tabul'o'j
vakstabulon	vaks'tabul'o'n
vakua	vaku'a
vakuaj	vaku'a'j
vakuajn	vaku'a'j'n
vakuan	vaku'a'n
vakue	vaku'e
vakuo	vaku'o
vakuoj	vaku'o'j
vakuojn	vaku'o'j'n
vakuon	vaku'o'n
vakuaparatoj	vaku'aparat'o'j
vakueco	vaku'ec'o
vakuenergion	vaku'energi'o'n
vakuiga	vaku'ig'a
vakuodistilado	vaku'o'distil'ad'o
vakuofluktuoj	vaku'o'fluktu'o'j
vakuokamero	vaku'o'kamer'o
vakuokameroj	vaku'o'kamer'o'j
vakuokameron	vaku'o'kamer'o'n
vakuokaptiloj	vaku'o'kapt'il'o'j
vakuokondiĉoj	vaku'o'kondiĉ'o'j
vakuomediaj	vaku'o'medi'a'j
vakuomediajn	vaku'o'medi'a'j'n
vakuomedio	vaku'o'medi'o
vakuonivelo	vaku'o'nivel'o
vakuopipo	vaku'o'pip'o
vakuoringoj	vaku'o'ring'o'j
vakuosako	vaku'o'sak'o
vakuoŝipo	vaku'o'ŝip'o
vakuosistemo	vaku'o'sistem'o
vakuosistemoj	vaku'o'sistem'o'j
vakuoŝtato	vaku'o'ŝtat'o
vakuotanko	vaku'o'tank'o
vakuotankon	vaku'o'tank'o'n
vakuonivelon	vaku'onivel'o'n
vakupumpilo	vaku'pump'il'o
vakupumpiloj	vaku'pump'il'o'j
vakupumpilon	vaku'pump'il'o'n
vakupurigilo	vaku'pur'ig'il'o
vakutuba	vaku'tub'a
vakutubaj	vaku'tub'a'j
vakutubo	vaku'tub'o
vakutuboj	vaku'tub'o'j
vakuolo	vakuol'o
vakuoloj	vakuol'o'j
vakuolojn	vakuol'o'j'n
vakuolon	vakuol'o'n
vala	val'a
valaj	val'a'j
valajn	val'a'j'n
vale	val'e
valen	val'e'n
vali	val'i
valo	val'o
valoj	val'o'j
valojn	val'o'j'n
valon	val'o'n
valaĵo	val'aĵ'o
valbaraĵo	val'bar'aĵ'o
valbaraĵoj	val'bar'aĵ'o'j
valego	val'eg'o
valeto	val'et'o
valetoj	val'et'o'j
valeton	val'et'o'n
valabio	valabi'o
