ĉada	ĉad'a
ĉado	ĉad'o
ĉadio	ĉad'i'o
ĉagrena	ĉagren'a
ĉagrenas	ĉagren'as
ĉagrene	ĉagren'e
ĉagreni	ĉagren'i
ĉagrenis	ĉagren'is
ĉagreno	ĉagren'o
ĉagrenoj	ĉagren'o'j
ĉagrenojn	ĉagren'o'j'n
ĉagrenon	ĉagren'o'n
ĉagrenu	ĉagren'u
ĉagreniĝas	ĉagren'iĝ'as
ĉagreniĝi	ĉagren'iĝ'i
ĉagreniĝis	ĉagren'iĝ'is
ĉagreniĝo	ĉagren'iĝ'o
ĉagreniĝon	ĉagren'iĝ'o'n
ĉagreniĝu	ĉagren'iĝ'u
ĉagrenita	ĉagren'it'a
ĉagrenitaj	ĉagren'it'a'j
ĉagrenite	ĉagren'it'e
ĉaka	ĉak'a
ĉako	ĉak'o
ĉakro	ĉakr'o
ĉamo	ĉam'o
ĉambelano	ĉambelan'o
ĉambra	ĉambr'a
ĉambraj	ĉambr'a'j
ĉambran	ĉambr'a'n
ĉambro	ĉambr'o
ĉambroj	ĉambr'o'j
ĉambrojn	ĉambr'o'j'n
ĉambron	ĉambr'o'n
ĉambraro	ĉambr'ar'o
ĉambrego	ĉambr'eg'o
ĉambregoj	ĉambr'eg'o'j
ĉambregon	ĉambr'eg'o'n
ĉambreto	ĉambr'et'o
ĉambretoj	ĉambr'et'o'j
ĉambreton	ĉambr'et'o'n
ĉambristo	ĉambr'ist'o
ĉambristoj	ĉambr'ist'o'j
ĉambristino	ĉambr'ist'in'o
ĉambristinon	ĉambr'ist'in'o'n
ĉambrohejtado	ĉambr'o'hejt'ad'o
ĉambromuzikaj	ĉambr'o'muzik'a'j
ĉambromuziko	ĉambr'o'muzik'o
ĉambroplanto	ĉambr'o'plant'o
ĉambroplantoj	ĉambr'o'plant'o'j
ĉampano	ĉampan'o
ĉampanon	ĉampan'o'n
ĉampiono	ĉampion'o
ĉampionoj	ĉampion'o'j
ĉampionojn	ĉampion'o'j'n
ĉampionon	ĉampion'o'n
ĉampionado	ĉampion'ad'o
ĉampionadon	ĉampion'ad'o'n
ĉampioneco	ĉampion'ec'o
ĉampionecoj	ĉampion'ec'o'j
ĉampionecojn	ĉampion'ec'o'j'n
ĉampionecon	ĉampion'ec'o'n
ĉampioniĝis	ĉampion'iĝ'is
ĉampionino	ĉampion'in'o
ĉanon	ĉan'o'n
ĉantaĝas	ĉantaĝ'as
ĉantaĝi	ĉantaĝ'i
ĉantaĝis	ĉantaĝ'is
ĉantaĝo	ĉantaĝ'o
ĉantaĝoj	ĉantaĝ'o'j
ĉapo	ĉap'o
ĉapoj	ĉap'o'j
ĉapojn	ĉap'o'j'n
ĉapon	ĉap'o'n
ĉapeto	ĉap'et'o
ĉapeton	ĉap'et'o'n
ĉapela	ĉapel'a
ĉapelo	ĉapel'o
ĉapeloj	ĉapel'o'j
ĉapelojn	ĉapel'o'j'n
ĉapelon	ĉapel'o'n
ĉapelilo	ĉapel'il'o
ĉapelisto	ĉapel'ist'o
ĉapelitaj	ĉapel'it'a'j
ĉapelitajn	ĉapel'it'a'j'n
ĉapitro	ĉapitr'o
ĉapitroj	ĉapitr'o'j
ĉapitrojn	ĉapitr'o'j'n
ĉapitron	ĉapitr'o'n
ĉar	ĉar
ĉara	ĉar'a
ĉaro	ĉar'o
ĉaroj	ĉar'o'j
ĉarojn	ĉar'o'j'n
ĉaron	ĉar'o'n
ĉarego	ĉar'eg'o
ĉaregon	ĉar'eg'o'n
ĉareto	ĉar'et'o
ĉaretoj	ĉar'et'o'j
ĉareton	ĉar'et'o'n
ĉaristo	ĉar'ist'o
ĉarumo	ĉar'um'o
ĉarlatano	ĉarlatan'o
ĉarlatanoj	ĉarlatan'o'j
ĉarlatanaĵo	ĉarlatan'aĵ'o
ĉarma	ĉarm'a
ĉarmaj	ĉarm'a'j
ĉarmajn	ĉarm'a'j'n
ĉarman	ĉarm'a'n
ĉarmas	ĉarm'as
ĉarme	ĉarm'e
ĉarmi	ĉarm'i
ĉarmis	ĉarm'is
ĉarmo	ĉarm'o
ĉarmoj	ĉarm'o'j
ĉarmojn	ĉarm'o'j'n
ĉarmon	ĉarm'o'n
ĉarmeco	ĉarm'ec'o
ĉarmecon	ĉarm'ec'o'n
ĉarmega	ĉarm'eg'a
ĉarmegaj	ĉarm'eg'a'j
ĉarmita	ĉarm'it'a
ĉarniras	ĉarnir'as
ĉarniro	ĉarnir'o
ĉarniroj	ĉarnir'o'j
ĉarnirumitaj	ĉarnir'um'it'a'j
ĉarpentado	ĉarpent'ad'o
ĉarpentisto	ĉarpent'ist'o
ĉarpentistoj	ĉarpent'ist'o'j
ĉarto	ĉart'o
ĉartoj	ĉart'o'j
ĉartojn	ĉart'o'j'n
ĉarton	ĉart'o'n
ĉasa	ĉas'a
ĉasaj	ĉas'a'j
ĉasas	ĉas'as
ĉasi	ĉas'i
ĉasis	ĉas'is
ĉaso	ĉas'o
ĉasoj	ĉas'o'j
ĉason	ĉas'o'n
ĉasos	ĉas'os
ĉasadi	ĉas'ad'i
ĉasadis	ĉas'ad'is
ĉasado	ĉas'ad'o
ĉasadoj	ĉas'ad'o'j
ĉasadon	ĉas'ad'o'n
ĉasaĵo	ĉas'aĵ'o
ĉasaĵon	ĉas'aĵ'o'n
ĉasanta	ĉas'ant'a
ĉasantaj	ĉas'ant'a'j
ĉasante	ĉas'ant'e
ĉasanto	ĉas'ant'o
ĉasantoj	ĉas'ant'o'j
ĉasata	ĉas'at'a
ĉasataj	ĉas'at'a'j
ĉasaviadilo	ĉas'aviad'il'o
ĉasaviadiloj	ĉas'aviad'il'o'j
ĉasbestoj	ĉas'best'o'j
ĉasbirdoj	ĉas'bird'o'j
ĉasejo	ĉas'ej'o
ĉasestro	ĉas'estr'o
ĉashundo	ĉas'hund'o
ĉashundoj	ĉas'hund'o'j
ĉasista	ĉas'ist'a
ĉasisto	ĉas'ist'o
ĉasistoj	ĉas'ist'o'j
ĉasistojn	ĉas'ist'o'j'n
ĉasiston	ĉas'ist'o'n
ĉasistino	ĉas'ist'in'o
ĉasistojkolektistoj	ĉas'ist'oj'kolekt'ist'o'j
ĉasita	ĉas'it'a
ĉasitaj	ĉas'it'a'j
ĉaskaptistoj	ĉas'kapt'ist'o'j
ĉaspafiloj	ĉas'paf'il'o'j
ĉasputoroj	ĉas'putor'o'j
ĉastranĉilo	ĉas'tranĉ'il'o
ĉasio	ĉasi'o
ĉasioj	ĉasi'o'j
ĉasion	ĉasi'o'n
ĉasta	ĉast'a
ĉastaj	ĉast'a'j
ĉasteco	ĉast'ec'o
ĉastecon	ĉast'ec'o'n
ĉatnio	ĉatni'o
ĉe	ĉe
ĉea	ĉe'a
ĉeantarktaj	ĉe'antarkt'a'j
ĉebaze	ĉe'baz'e
ĉeborda	ĉe'bord'a
ĉebordaj	ĉe'bord'a'j
ĉeesta	ĉe'est'a
ĉeestaj	ĉe'est'a'j
ĉeestajn	ĉe'est'a'j'n
ĉeestan	ĉe'est'a'n
ĉeestas	ĉe'est'as
ĉestas	ĉe'est'as
ĉeeste	ĉe'est'e
ĉeesti	ĉe'est'i
ĉeestis	ĉe'est'is
ĉeesto	ĉe'est'o
ĉeeston	ĉe'est'o'n
ĉeestos	ĉe'est'os
ĉeestu	ĉe'est'u
ĉeestus	ĉe'est'us
ĉeestado	ĉe'est'ad'o
ĉeestanta	ĉe'est'ant'a
ĉeestantaj	ĉe'est'ant'a'j
ĉeestantajn	ĉe'est'ant'a'j'n
ĉeestantan	ĉe'est'ant'a'n
