ĝajna	ĝajn'a
ĝajnaj	ĝajn'a'j
ĝajnan	ĝajn'a'n
ĝajnoj	ĝajn'o'j
ĝajnisma	ĝajn'ism'a
ĝajnismaj	ĝajn'ism'a'j
ĝajnismo	ĝajn'ism'o
ĝajnismon	ĝajn'ism'o'n
ĝajnistoj	ĝajn'ist'o'j
ĝakarta	ĝakart'a
ĝakarto	ĝakart'o
ĝangala	ĝangal'a
ĝangalaj	ĝangal'a'j
ĝangalajn	ĝangal'a'j'n
ĝangale	ĝangal'e
ĝangalo	ĝangal'o
ĝangaloj	ĝangal'o'j
ĝangalojn	ĝangal'o'j'n
ĝangalon	ĝangal'o'n
ĝangalanoj	ĝangal'an'o'j
ĝangalopolis	ĝangal'o'pol'is
ĝangalostilo	ĝangal'o'stil'o
ĝangalvestitaj	ĝangal'vest'it'a'j
ĝardena	ĝarden'a
ĝardenaj	ĝarden'a'j
ĝardenajn	ĝarden'a'j'n
ĝardenan	ĝarden'a'n
ĝardenas	ĝarden'as
ĝardene	ĝarden'e
ĝardeni	ĝarden'i
ĝardenis	ĝarden'is
ĝardeno	ĝarden'o
ĝardenoj	ĝarden'o'j
ĝardenojn	ĝarden'o'j'n
ĝardenon	ĝarden'o'n
ĝardenadaj	ĝarden'ad'a'j
ĝardenado	ĝarden'ad'o
ĝardenadon	ĝarden'ad'o'n
ĝardenarto	ĝarden'art'o
ĝardenarton	ĝarden'art'o'n
ĝardenbarilo	ĝarden'bar'il'o
ĝardenbedoj	ĝarden'bed'o'j
ĝardendezajno	ĝarden'dezajn'o
ĝardendezajnoj	ĝarden'dezajn'o'j
ĝardendizajno	ĝarden'dizajn'o
ĝardendizajnisto	ĝarden'dizajn'ist'o
ĝardendizajnistoj	ĝarden'dizajn'ist'o'j
ĝardendomo	ĝarden'dom'o
ĝardendomoj	ĝarden'dom'o'j
ĝardendometo	ĝarden'dom'et'o
ĝardenekspozicio	ĝarden'ekspozici'o
ĝardeneto	ĝarden'et'o
ĝardenetoj	ĝarden'et'o'j
ĝardeneton	ĝarden'et'o'n
ĝardenfazeolo	ĝarden'fazeol'o
ĝardenfesto	ĝarden'fest'o
ĝardenfestoj	ĝarden'fest'o'j
ĝardenfloroj	ĝarden'flor'o'j
ĝardenformo	ĝarden'form'o
ĝardenigo	ĝarden'ig'o
ĝardeniloj	ĝarden'il'o'j
ĝardenista	ĝarden'ist'a
ĝardenisto	ĝarden'ist'o
ĝardenistoj	ĝarden'ist'o'j
ĝardenistojn	ĝarden'ist'o'j'n
ĝardeniston	ĝarden'ist'o'n
ĝardenistejo	ĝarden'ist'ej'o
ĝardenistiko	ĝarden'ist'ik'o
ĝardenistino	ĝarden'ist'in'o
ĝardenkameno	ĝarden'kamen'o
ĝardenkonstruaĵoj	ĝarden'konstru'aĵ'o'j
ĝardenkreado	ĝarden'kre'ad'o
ĝardenkreantoj	ĝarden'kre'ant'o'j
ĝardenkrizantemo	ĝarden'krizantem'o
ĝardenkukurbo	ĝarden'kukurb'o
ĝardenkultivado	ĝarden'kultiv'ad'o
ĝardenkulturo	ĝarden'kultur'o
ĝardenkulturon	ĝarden'kultur'o'n
ĝardenkulturejo	ĝarden'kultur'ej'o
ĝardenlaboro	ĝarden'labor'o
ĝardenlaboron	ĝarden'labor'o'n
ĝardenobariloj	ĝarden'o'bar'il'o'j
ĝardenosciencaj	ĝarden'o'scienc'a'j
ĝardenpadoj	ĝarden'pad'o'j
ĝardenpavilonoj	ĝarden'pavilon'o'j
ĝardenplacon	ĝarden'plac'o'n
ĝardenplanto	ĝarden'plant'o
ĝardenplantoj	ĝarden'plant'o'j
ĝardenplantojn	ĝarden'plant'o'j'n
ĝardenpordo	ĝarden'pord'o
ĝardenpordeton	ĝarden'pord'et'o'n
ĝardenpotoj	ĝarden'pot'o'j
ĝardenrozoj	ĝarden'roz'o'j
ĝardensalono	ĝarden'salon'o
ĝardenspaco	ĝarden'spac'o
ĝardentekniko	ĝarden'teknik'o
ĝardentero	ĝarden'ter'o
ĝardenteron	ĝarden'ter'o'n
ĝardentondiloj	ĝarden'tond'il'o'j
ĝardenuma	ĝarden'um'a
ĝardenumas	ĝarden'um'as
ĝardenumi	ĝarden'um'i
ĝardenumo	ĝarden'um'o
ĝardenumado	ĝarden'um'ad'o
ĝardenurba	ĝarden'urb'a
ĝardenurbo	ĝarden'urb'o
ĝardenurboj	ĝarden'urb'o'j
ĝazbando	ĝaz'band'o
ĝazbandoj	ĝaz'band'o'j
ĝazbandon	ĝaz'band'o'n
ĝema	ĝem'a
ĝemas	ĝem'as
ĝeme	ĝem'e
ĝemi	ĝem'i
ĝemis	ĝem'is
ĝemo	ĝem'o
ĝemoj	ĝem'o'j
ĝemojn	ĝem'o'j'n
ĝemon	ĝem'o'n
ĝemos	ĝem'os
ĝemu	ĝem'u
ĝemus	ĝem'us
ĝemadas	ĝem'ad'as
ĝemadi	ĝem'ad'i
ĝemadis	ĝem'ad'is
ĝemado	ĝem'ad'o
ĝemadoj	ĝem'ad'o'j
ĝemadojn	ĝem'ad'o'j'n
ĝemadon	ĝem'ad'o'n
ĝemanta	ĝem'ant'a
ĝemantaj	ĝem'ant'a'j
ĝemantan	ĝem'ant'a'n
ĝemante	ĝem'ant'e
ĝemdiru	ĝem'dir'u
ĝemegis	ĝem'eg'is
ĝemegoj	ĝem'eg'o'j
ĝemegojn	ĝem'eg'o'j'n
ĝemegado	ĝem'eg'ad'o
ĝemegantan	ĝem'eg'ant'a'n
ĝemetas	ĝem'et'as
ĝemeti	ĝem'et'i
ĝemetis	ĝem'et'is
ĝemeto	ĝem'et'o
ĝemetoj	ĝem'et'o'j
ĝemetadon	ĝem'et'ad'o'n
ĝemetante	ĝem'et'ant'e
ĝemkriis	ĝem'kri'is
ĝemkrioj	ĝem'kri'o'j
ĝemploris	ĝem'plor'is
ĝemspiris	ĝem'spir'is
ĝemspirante	ĝem'spir'ant'e
ĝemela	ĝemel'a
ĝemelaj	ĝemel'a'j
ĝemelajn	ĝemel'a'j'n
ĝemelan	ĝemel'a'n
ĝemele	ĝemel'e
ĝemeli	ĝemel'i
ĝemelis	ĝemel'is
ĝemelo	ĝemel'o
ĝemeloj	ĝemel'o'j
ĝemelojn	ĝemel'o'j'n
ĝemelon	ĝemel'o'n
ĝemeleco	ĝemel'ec'o
ĝemelfiloj	ĝemel'fil'o'j
ĝemelfirmao	ĝemel'firma'o
ĝemelfrato	ĝemel'frat'o
ĝemelfratoj	ĝemel'frat'o'j
ĝemelfraton	ĝemel'frat'o'n
ĝemelfratinon	ĝemel'frat'in'o'n
ĝemeligon	ĝemel'ig'o'n
ĝemeligita	ĝemel'ig'it'a
ĝemeliĝi	ĝemel'iĝ'i
ĝemeliĝis	ĝemel'iĝ'is
ĝemeliĝo	ĝemel'iĝ'o
ĝemeliĝoj	ĝemel'iĝ'o'j
ĝemelino	ĝemel'in'o
ĝemelinoj	ĝemel'in'o'j
ĝemelinfanoj	ĝemel'infan'o'j
ĝemelita	ĝemel'it'a
ĝemelitaj	ĝemel'it'a'j
ĝemelkolonoj	ĝemel'kolon'o'j
ĝemelkonsiletestraroj	ĝemel'konsil'et'estr'ar'o'j
ĝemelparoj	ĝemel'par'o'j
ĝemelturo	ĝemel'tur'o
ĝemeluloj	ĝemel'ul'o'j
ĝemelurba	ĝemel'urb'a
ĝemelurbaj	ĝemel'urb'a'j
ĝemelurbo	ĝemel'urb'o
ĝemelurboj	ĝemel'urb'o'j
ĝemelurbojn	ĝemel'urb'o'j'n
ĝena	ĝen'a
ĝenaj	ĝen'a'j
ĝenajn	ĝen'a'j'n
ĝenan	ĝen'a'n
ĝenas	ĝen'as
ĝene	ĝen'e
ĝeni	ĝen'i
ĝenis	ĝen'is
ĝeno	ĝen'o
ĝenoj	ĝen'o'j
ĝenojn	ĝen'o'j'n
ĝenon	ĝen'o'n
ĝenos	ĝen'os
ĝenu	ĝen'u
ĝenus	ĝen'us
ĝenadas	ĝen'ad'as
ĝenadi	ĝen'ad'i
ĝenadis	ĝen'ad'is
ĝenado	ĝen'ad'o
ĝenadon	ĝen'ad'o'n
ĝenaditaj	ĝen'ad'it'a'j
ĝenaĵo	ĝen'aĵ'o
ĝenaĵoj	ĝen'aĵ'o'j
ĝenaĵojn	ĝen'aĵ'o'j'n
ĝenaĵon	ĝen'aĵ'o'n
ĝenaĵliberan	ĝen'aĵ'liber'a'n
ĝenanta	ĝen'ant'a
ĝenantaj	ĝen'ant'a'j
ĝenantajn	ĝen'ant'a'j'n
ĝenantan	ĝen'ant'a'n
ĝenante	ĝen'ant'e
ĝenanto	ĝen'ant'o
ĝenantojn	ĝen'ant'o'j'n
ĝenata	ĝen'at'a
ĝenataj	ĝen'at'a'j
ĝenatajn	ĝen'at'a'j'n
ĝenatan	ĝen'at'a'n
ĝenate	ĝen'at'e
ĝenateco	ĝen'at'ec'o
ĝenatecon	ĝen'at'ec'o'n
ĝeneco	ĝen'ec'o
ĝenega	ĝen'eg'a
ĝenegis	ĝen'eg'is
ĝenelsendado	ĝen'el'send'ad'o
ĝenema	ĝen'em'a
ĝenemo	ĝen'em'o
ĝenetas	ĝen'et'as
ĝeniga	ĝen'ig'a
ĝenigo	ĝen'ig'o
ĝeniĝa	ĝen'iĝ'a
ĝeniĝas	ĝen'iĝ'as
ĝeniĝi	ĝen'iĝ'i
ĝeniĝis	ĝen'iĝ'is
ĝeniĝo	ĝen'iĝ'o
ĝeniĝon	ĝen'iĝ'o'n
ĝeniĝu	ĝen'iĝ'u
ĝeniĝante	ĝen'iĝ'ant'e
ĝeninta	ĝen'int'a
ĝenita	ĝen'it'a
ĝenitaj	ĝen'it'a'j
ĝenitajn	ĝen'it'a'j'n
ĝenitan	ĝen'it'a'n
ĝenite	ĝen'it'e
ĝeniteco	ĝen'it'ec'o
ĝenlumo	ĝen'lum'o
ĝenodistanco	ĝen'o'distanc'o
ĝenpafado	ĝen'paf'ad'o
ĝenulo	ĝen'ul'o
ĝenuloj	ĝen'ul'o'j
ĝenulojn	ĝen'ul'o'j'n
ĝenulon	ĝen'ul'o'n
ĝendarma	ĝendarm'a
ĝendarmaj	ĝendarm'a'j
ĝendarmo	ĝendarm'o
ĝendarmoj	ĝendarm'o'j
ĝendarmojn	ĝendarm'o'j'n
ĝendarmon	ĝendarm'o'n
ĝendarmaro	ĝendarm'ar'o
ĝendarmaron	ĝendarm'ar'o'n
ĝendarmejo	ĝendarm'ej'o
ĝenerala	ĝeneral'a
ĝenelaraj	ĝeneral'a'j
ĝeneralaj	ĝeneral'a'j
ĝeneralajn	ĝeneral'a'j'n
ĝeneralan	ĝeneral'a'n
ĝenralan	ĝeneral'a'n
ĝeneralas	ĝeneral'as
ĝenerake	ĝeneral'e
ĝenerale	ĝeneral'e
ĝenerele	ĝeneral'e
ĝeneralo	ĝeneral'o
ĝeneralaĵo	ĝeneral'aĵ'o
ĝeneralaĵoj	ĝeneral'aĵ'o'j
ĝeneralaĵojn	ĝeneral'aĵ'o'j'n
ĝeneralaspekte	ĝeneral'aspekt'e
ĝeneralbaso	ĝeneral'bas'o
ĝeneralcela	ĝeneral'cel'a
ĝeneralcelaj	ĝeneral'cel'a'j
ĝeneraldire	ĝeneral'dir'e
ĝeneraldirite	ĝeneral'dir'it'e
ĝeneraldirektoro	ĝeneral'direktor'o
ĝeneraleco	ĝeneral'ec'o
ĝeneralecoj	ĝeneral'ec'o'j
ĝeneralecon	ĝeneral'ec'o'n
ĝeneralgubernatora	ĝeneral'gubernator'a
ĝeneralgubernatoro	ĝeneral'gubernator'o
ĝeneralgubernatoroj	ĝeneral'gubernator'o'j
ĝeneralgubernatoron	ĝeneral'gubernator'o'n
ĝeneraliga	ĝeneral'ig'a
ĝeneraligaj	ĝeneral'ig'a'j
ĝeneraligajn	ĝeneral'ig'a'j'n
ĝeneraligas	ĝeneral'ig'as
ĝeneralige	ĝeneral'ig'e
ĝeneraligi	ĝeneral'ig'i
ĝeneraligis	ĝeneral'ig'is
ĝeneraligo	ĝeneral'ig'o
ĝeneraligoj	ĝeneral'ig'o'j
ĝeneraligojn	ĝeneral'ig'o'j'n
ĝeneraligon	ĝeneral'ig'o'n
ĝeneraligos	ĝeneral'ig'os
ĝeneraligu	ĝeneral'ig'u
ĝeneraligado	ĝeneral'ig'ad'o
ĝeneraliganta	ĝeneral'ig'ant'a
ĝeneraligante	ĝeneral'ig'ant'e
ĝeneraligataj	ĝeneral'ig'at'a'j
ĝeneraligebla	ĝeneral'ig'ebl'a
ĝeneraligeblaj	ĝeneral'ig'ebl'a'j
ĝeneraligeblas	ĝeneral'ig'ebl'as
ĝeneraligeblo	ĝeneral'ig'ebl'o
ĝeneraligita	ĝeneral'ig'it'a
ĝeneraligitaj	ĝeneral'ig'it'a'j
ĝeneraligitajn	ĝeneral'ig'it'a'j'n
ĝeneraligitan	ĝeneral'ig'it'a'n
ĝeneraligite	ĝeneral'ig'it'e
ĝeneraliĝas	ĝeneral'iĝ'as
ĝeneraliĝi	ĝeneral'iĝ'i
ĝeneraliĝis	ĝeneral'iĝ'is
ĝeneraliĝo	ĝeneral'iĝ'o
ĝeneralinteresa	ĝeneral'interes'a
ĝeneralinteresaj	ĝeneral'interes'a'j
ĝeneralinteresajn	ĝeneral'interes'a'j'n
ĝeneralista	ĝeneral'ist'a
ĝeneralistaj	ĝeneral'ist'a'j
ĝeneralisto	ĝeneral'ist'o
ĝeneralistoj	ĝeneral'ist'o'j
ĝeneralistojn	ĝeneral'ist'o'j'n
ĝeneralistopredantoj	ĝeneral'ist'o'pred'ant'o'j
ĝeneraljura	ĝeneral'jur'a
ĝeneraljuraj	ĝeneral'jur'a'j
