ĥalato	ĥalat'o
ĥalatoj	ĥalat'o'j
ĥalaton	ĥalat'o'n
ĥaldea	ĥalde'a
ĥaldeaj	ĥalde'a'j
ĥaldean	ĥalde'a'n
ĥaldeoj	ĥalde'o'j
ĥalifa	ĥalif'a
ĥalifo	ĥalif'o
ĥalifejon	ĥalif'ej'o'n
ĥalkolitika	ĥalkolitik'a
ĥalkolitiko	ĥalkolitik'o
ĥalkolitikon	ĥalkolitik'o'n
ĥameo	ĥame'o
ĥameleonoj	ĥameleon'o'j
ĥamsino	ĥamsin'o
ĥana	ĥan'a
ĥano	ĥan'o
ĥanoj	ĥan'o'j
ĥanojn	ĥan'o'j'n
ĥanon	ĥan'o'n
ĥanato	ĥan'at'o
ĥanatoj	ĥan'at'o'j
ĥanejo	ĥan'ej'o
ĥanlando	ĥan'land'o
ĥanlandoj	ĥan'land'o'j
ĥanlandojn	ĥan'land'o'j'n
ĥanpaŝa	ĥan'paŝ'a
ĥanujo	ĥan'uj'o
ĥanvazo	ĥan'vaz'o
ĥanio	ĥani'o
ĥanuko	ĥanuk'o
ĥanukaon	ĥanukao'n
ĥaosa	ĥaos'a
ĥaosaj	ĥaos'a'j
ĥaosajn	ĥaos'a'j'n
ĥaosan	ĥaos'a'n
ĥaose	ĥaos'e
ĥaoso	ĥaos'o
ĥaosoj	ĥaos'o'j
ĥaosojn	ĥaos'o'j'n
ĥaoson	ĥaos'o'n
ĥaosaĉo	ĥaos'aĉ'o
ĥaradriedoj	ĥaradri'ed'o'j
ĥaradrioformaj	ĥaradri'o'form'a'j
ĥarkova	ĥarkov'a
ĥarkovaj	ĥarkov'a'j
ĥarkovo	ĥarkov'o
ĥasida	ĥasid'a
ĥasidoj	ĥasid'o'j
ĥasidisma	ĥasid'ism'a
ĥasidismo	ĥasid'ism'o
ĥato	ĥat'o
ĥatoj	ĥat'o'j
ĥaton	ĥat'o'n
ĥazara	ĥazar'a
ĥazaroj	ĥazar'o'j
ĥazario	ĥazar'i'o
ĥelonio	ĥeloni'o
ĥelonioj	ĥeloni'o'j
ĥelonieto	ĥeloni'et'o
ĥemia	ĥemi'a
ĥemiaj	ĥemi'a'j
ĥemiajn	ĥemi'a'j'n
ĥemian	ĥemi'a'n
ĥemie	ĥemi'e
ĥemio	ĥemi'o
ĥemion	ĥemi'o'n
ĥemiaĵo	ĥemi'aĵ'o
ĥemiaĵoj	ĥemi'aĵ'o'j
ĥemiaĵojn	ĥemi'aĵ'o'j'n
ĥemiisto	ĥemi'ist'o
ĥemiistoj	ĥemi'ist'o'j
ĥemiiston	ĥemi'ist'o'n
ĥio	ĥi'o
ĥion	ĥi'o'n
ĥios	ĥi'os
ĥikvadratitdistribuo	ĥi'kvadrat'it'distribu'o
ĥikvadratitdistribuojn	ĥi'kvadrat'it'distribu'o'j'n
ĥikvadratittesto	ĥi'kvadrat'it'test'o
ĥiokvadrato	ĥi'o'kvadrat'o
ĥierarkio	hierarki'o
ĥilo	ĥil'o
ĥimena	ĥimen'a
ĥimeno	ĥimen'o
ĥimera	ĥimer'a
ĥimeraj	ĥimer'a'j
ĥimerajn	ĥimer'a'j'n
ĥimeran	ĥimer'a'n
ĥimero	ĥimer'o
ĥimeroj	ĥimer'o'j
ĥimerojn	ĥimer'o'j'n
ĥimeron	ĥimer'o'n
ĥimermusoj	ĥimer'mus'o'j
ĥina	ĥin'a
ĥinaj	ĥin'a'j
ĥino	ĥin'o
ĥinoj	ĥin'o'j
ĥinio	ĥin'i'o
ĥininoj	ĥin'in'o'j
ĥinujo	ĥin'uj'o
ĥiono	ĥion'o
ĥionon	ĥion'o'n
ĥionido	ĥionid'o
ĥionidoj	ĥionid'o'j
ĥirala	ĥiral'a
ĥiralaj	ĥiral'a'j
ĥiraleco	ĥiral'ec'o
ĥirono	ĥiron'o
ĥirurga	ĥirurg'a
ĥirurgaj	ĥirurg'a'j
ĥirurgo	ĥirurg'o
ĥirurgoj	ĥirurg'o'j
ĥirurgon	ĥirurg'o'n
ĥirurgia	ĥirurg'i'a
ĥirurgian	ĥirurg'i'a'n
ĥirurgie	ĥirurg'i'e
ĥirurgio	ĥirurg'i'o
ĥirurgion	ĥirurg'i'o'n
ĥirurgiisto	ĥirurg'i'ist'o
ĥitono	ĥiton'o
ĥitonon	ĥiton'o'n
ĥividoj	ĥivid'o'j
ĥolera	ĥoler'a
ĥoleraj	ĥoler'a'j
ĥolerajn	ĥoler'a'j'n
ĥoleran	ĥoler'a'n
ĥolero	ĥoler'o
ĥoleron	ĥoler'o'n
ĥolerepidemio	ĥoler'epidemi'o
ĥolerepidemioj	ĥoler'epidemi'o'j
ĥora	ĥor'a
ĥoraj	ĥor'a'j
ĥorajn	ĥor'a'j'n
ĥoran	ĥor'a'n
ĥore	ĥor'e
ĥoris	ĥor'is
ĥoro	ĥor'o
ĥoroj	ĥor'o'j
ĥorojn	ĥor'o'j'n
ĥoron	ĥor'o'n
ĥorado	ĥor'ad'o
ĥoraĵo	ĥor'aĵ'o
ĥoraĵoj	ĥor'aĵ'o'j
ĥoraĵon	ĥor'aĵ'o'n
ĥorano	ĥor'an'o
ĥoranoj	ĥor'an'o'j
ĥorapsido	ĥor'apsid'o
ĥorbarilo	ĥor'bar'il'o
ĥorĉirkaŭirejo	ĥor'ĉirkaŭ'ir'ej'o
ĥorĉirkaŭirejoj	ĥor'ĉirkaŭ'ir'ej'o'j
ĥordirektada	ĥor'direkt'ad'a
ĥordirektado	ĥor'direkt'ad'o
ĥordirektadon	ĥor'direkt'ad'o'n
ĥordirektisto	ĥor'direkt'ist'o
ĥordirektistoj	ĥor'direkt'ist'o'j
ĥorego	ĥor'eg'o
ĥoreja	ĥor'ej'a
ĥorejo	ĥor'ej'o
ĥorejoj	ĥor'ej'o'j
ĥorejon	ĥor'ej'o'n
ĥorestro	ĥor'estr'o
ĥorestroj	ĥor'estr'o'j
ĥorestrinon	ĥor'estr'in'o'n
ĥoreto	ĥor'et'o
ĥoristoj	ĥor'ist'o'j
ĥoristojn	ĥor'ist'o'j'n
ĥoristino	ĥor'ist'in'o
ĥorjambo	ĥor'jamb'o
ĥorjambon	ĥor'jamb'o'n
ĥorkantoj	ĥor'kant'o'j
ĥorkantado	ĥor'kant'ad'o
ĥorkantisto	ĥor'kant'ist'o
ĥorkantistoj	ĥor'kant'ist'o'j
ĥorkapeloj	ĥor'kapel'o'j
ĥorknabo	ĥor'knab'o
ĥorknaboj	ĥor'knab'o'j
ĥorkomponaĵoj	ĥor'kompon'aĵ'o'j
ĥorkonkurso	ĥor'konkurs'o
ĥormuziko	ĥor'muzik'o
ĥoromajstro	ĥor'o'majstr'o
ĥorprefekto	ĥor'prefekt'o
ĥorpupitro	ĥor'pupitr'o
ĥorrano	ĥor'ran'o
ĥorseĝoj	ĥor'seĝ'o'j
ĥorseĝaro	ĥor'seĝ'ar'o
ĥorseĝaroj	ĥor'seĝ'ar'o'j
ĥortono	ĥor'ton'o
ĥorverkoj	ĥor'verk'o'j
ĥorverkojn	ĥor'verk'o'j'n
ĥorala	ĥoral'a
ĥoralo	ĥoral'o
ĥoraloj	ĥoral'o'j
ĥoralojn	ĥoral'o'j'n
ĥoralon	ĥoral'o'n
ĥoralkantatoj	ĥoral'kantat'o'j
ĥoralkantoraro	ĥoral'kantor'ar'o
ĥoralliniojn	ĥoral'lini'o'j'n
ĥoralmelodio	ĥoral'melodi'o
ĥoralmelodion	ĥoral'melodi'o'n
ĥoralpreludoj	ĥoral'prelud'o'j
ĥoralsimila	ĥoral'simil'a
ĥorasano	ĥorasan'o
ĥorda	ĥord'a
ĥordo	ĥord'o
ĥordon	ĥord'o'n
ĥordulo	ĥord'ul'o
ĥorduloj	ĥord'ul'o'j
ĥoreo	ĥore'o
ĥoreeto	ĥore'et'o
ĥoreno	ĥoren'o
ĥorologio	ĥorologi'o
ĥoruson	ĥorus'o'n
