ĵaboton	ĵabot'o'n
ĵaki	ĵak'i
ĵako	ĵak'o
ĵakoj	ĵak'o'j
ĵakon	ĵak'o'n
ĵakardŝtofteksiloj	ĵakard'ŝtof'teks'il'o'j
ĵaketo	ĵaket'o
ĵaketon	ĵaket'o'n
ĵaksona	ĵakson'a
ĵaluza	ĵaluz'a
ĵaluzaj	ĵaluz'a'j
ĵaluzajn	ĵaluz'a'j'n
ĵaluzan	ĵaluz'a'n
ĵaluzas	ĵaluz'as
ĵaluze	ĵaluz'e
ĵaluzi	ĵaluz'i
ĵaluzis	ĵaluz'is
ĵaluzo	ĵaluz'o
ĵaluzoj	ĵaluz'o'j
ĵaluzon	ĵaluz'o'n
ĵaluzos	ĵaluz'os
ĵaluzu	ĵaluz'u
ĵaluzeco	ĵaluz'ec'o
ĵaluzega	ĵaluz'eg'a
ĵaluzema	ĵaluz'em'a
ĵaluzetas	ĵaluz'et'as
ĵaluzigi	ĵaluz'ig'i
ĵaluziĝis	ĵaluz'iĝ'is
ĵaluzulo	ĵaluz'ul'o
ĵaluzio	ĵaluzi'o
ĵaluzioj	ĵaluzi'o'j
ĵaluziojn	ĵaluzi'o'j'n
ĵamborea	ĵambore'a
ĵamboreo	ĵambore'o
ĵamboreoj	ĵambore'o'j
ĵamboreon	ĵambore'o'n
ĵargona	ĵargon'a
ĵargonaj	ĵargon'a'j
ĵargonajn	ĵargon'a'j'n
ĵargone	ĵargon'e
ĵargono	ĵargon'o
ĵargonoj	ĵargon'o'j
ĵargonon	ĵargon'o'n
ĵargonaĵo	ĵargon'aĵ'o
ĵargonaĵojn	ĵargon'aĵ'o'j'n
ĵargonalterno	ĵargon'altern'o
ĵargonperiodo	ĵargon'period'o
ĵartelojn	ĵartel'o'j'n
ĵartelkudrero	ĵartel'kudr'er'o
ĵaŭda	ĵaŭd'a
ĵaŭdaj	ĵaŭd'a'j
ĵaŭdajn	ĵaŭd'a'j'n
ĵaŭdan	ĵaŭd'a'n
ĵaŭde	ĵaŭd'e
ĵaŭdo	ĵaŭd'o
ĵaŭdoj	ĵaŭd'o'j
ĵaŭdon	ĵaŭd'o'n
ĵaza	ĵaz'a
ĵazaj	ĵaz'a'j
ĵazajn	ĵaz'a'j'n
ĵazan	ĵaz'a'n
ĵazo	ĵaz'o
ĵazon	ĵaz'o'n
ĵazaludoj	ĵaz'alud'o'j
ĵazartistoj	ĵaz'art'ist'o'j
ĵazbando	ĵaz'band'o
ĵazbandoj	ĵaz'band'o'j
ĵazbandego	ĵaz'band'eg'o
ĵazbandegoj	ĵaz'band'eg'o'j
ĵazbandegojn	ĵaz'band'eg'o'j'n
ĵazemulo	ĵaz'em'ul'o
ĵazemuloj	ĵaz'em'ul'o'j
ĵazensemblo	ĵaz'ensembl'o
ĵazesploro	ĵaz'esplor'o
ĵazfestivalo	ĵaz'festival'o
ĵazfuzio	ĵaz'fuzi'o
ĵazgitaro	ĵaz'gitar'o
ĵazgitaristo	ĵaz'gitar'ist'o
ĵazgitaristoj	ĵaz'gitar'ist'o'j
ĵazgrupo	ĵaz'grup'o
ĵazgrupoj	ĵaz'grup'o'j
ĵazharmoniaro	ĵaz'harmoni'ar'o
ĵazhistorio	ĵaz'histori'o
ĵazimprovizado	ĵaz'improviz'ad'o
ĵazisto	ĵaz'ist'o
ĵazistoj	ĵaz'ist'o'j
ĵazistojn	ĵaz'ist'o'j'n
ĵazkantisto	ĵaz'kant'ist'o
ĵazkantistoj	ĵaz'kant'ist'o'j
ĵazklubo	ĵaz'klub'o
ĵazklubejo	ĵaz'klub'ej'o
ĵazklubejoj	ĵaz'klub'ej'o'j
ĵazkontrabasistoj	ĵaz'kontrabas'ist'o'j
ĵazkritiko	ĵaz'kritik'o
ĵazmondo	ĵaz'mond'o
ĵazmondeto	ĵaz'mond'et'o
ĵazmuzikan	ĵaz'muzik'a'n
ĵazmuziko	ĵaz'muzik'o
ĵazmuzikon	ĵaz'muzik'o'n
ĵazmuzikisto	ĵaz'muzik'ist'o
ĵazmuzikistoj	ĵaz'muzik'ist'o'j
ĵaznormo	ĵaz'norm'o
ĵaznormoj	ĵaz'norm'o'j
ĵazosaksofonisto	ĵaz'o'saksofon'ist'o
ĵazosesioj	ĵaz'o'sesi'o'j
ĵazostiloj	ĵaz'o'stil'o'j
ĵazperiodo	ĵaz'period'o
ĵazpianisto	ĵaz'pian'ist'o
ĵazstilo	ĵaz'stil'o
ĵazstiloj	ĵaz'stil'o'j
ĵaztagoj	ĵaz'tag'o'j
ĵaztamburisto	ĵaz'tambur'ist'o
ĵazteknikojn	ĵaz'teknik'o'j'n
ĵaztradicio	ĵaz'tradici'o
ĵaztrumpetisto	ĵaz'trumpet'ist'o
ĵaztrumpetistoj	ĵaz'trumpet'ist'o'j
ĵaztrupo	ĵaz'trup'o
ĵelea	ĵele'a
ĵeleo	ĵele'o
ĵeleoj	ĵele'o'j
ĵeleojn	ĵele'o'j'n
ĵeleon	ĵele'o'n
ĵeleofabo	ĵele'o'fab'o
ĵeleofaboj	ĵele'o'fab'o'j
ĵeletortoj	ĵele'tort'o'j
ĵerzo	ĵerz'o
ĵerzoj	ĵerz'o'j
ĵerzojn	ĵerz'o'j'n
ĵerzon	ĵerz'o'n
ĵerzejo	ĵerzej'o
ĵeta	ĵet'a
ĵetaj	ĵet'a'j
ĵetan	ĵet'a'n
ĵetas	ĵet'as
ĵete	ĵet'e
ĵeti	ĵet'i
ĵetis	ĵet'is
ĵeto	ĵet'o
ĵetoj	ĵet'o'j
ĵetojn	ĵet'o'j'n
