ŝablona	ŝablon'a
ŝablonaj	ŝablon'a'j
ŝablono	ŝablon'o
ŝablonoj	ŝablon'o'j
ŝablonojn	ŝablon'o'j'n
ŝablonon	ŝablon'o'n
ŝablonmesaĝon	ŝablon'mesaĝ'o'n
ŝafa	ŝaf'a
ŝafaj	ŝaf'a'j
ŝafi	ŝaf'i
ŝafo	ŝaf'o
ŝafoj	ŝaf'o'j
ŝafojn	ŝaf'o'j'n
ŝafon	ŝaf'o'n
ŝafaĵo	ŝaf'aĵ'o
ŝafaĵoj	ŝaf'aĵ'o'j
ŝafaĵon	ŝaf'aĵ'o'n
ŝafaro	ŝaf'ar'o
ŝafaron	ŝaf'ar'o'n
ŝafbredado	ŝaf'bred'ad'o
ŝafejo	ŝaf'ej'o
ŝaffelo	ŝaf'fel'o
ŝaffelon	ŝaf'fel'o'n
ŝafido	ŝaf'id'o
ŝafidoj	ŝaf'id'o'j
ŝafidojn	ŝaf'id'o'j'n
ŝafidon	ŝaf'id'o'n
ŝafidaĵo	ŝaf'id'aĵ'o
ŝafino	ŝaf'in'o
ŝafinoj	ŝaf'in'o'j
ŝafinojn	ŝaf'in'o'j'n
ŝafinon	ŝaf'in'o'n
ŝafisto	ŝaf'ist'o
ŝafistoj	ŝaf'ist'o'j
ŝafto	ŝaft'o
ŝaftoj	ŝaft'o'j
ŝaftojn	ŝaft'o'j'n
ŝafton	ŝaft'o'n
ŝaftrado	ŝaft'rad'o
ŝaho	ŝah'o
ŝajna	ŝajn'a
ŝajnaj	ŝajn'a'j
ŝajnajn	ŝajn'a'j'n
ŝajnan	ŝajn'a'n
ŝajnas	ŝajn'as
ŝajne	ŝajn'e
ŝajni	ŝajn'i
ŝajnis	ŝajn'is
ŝajno	ŝajn'o
ŝajnoj	ŝajn'o'j
ŝajnon	ŝajn'o'n
ŝajnos	ŝajn'os
ŝajnu	ŝajn'u
ŝajnus	ŝajn'us
ŝajnaĵoj	ŝajn'aĵ'o'j
ŝajnanta	ŝajn'ant'a
ŝajnantaj	ŝajn'ant'a'j
ŝajnante	ŝajn'ant'e
ŝajniga	ŝajn'ig'a
ŝajnigaj	ŝajn'ig'a'j
ŝajnigajn	ŝajn'ig'a'j'n
ŝajnigas	ŝajn'ig'as
ŝajnige	ŝajn'ig'e
ŝajnigi	ŝajn'ig'i
ŝajnigis	ŝajn'ig'is
ŝajnigo	ŝajn'ig'o
ŝajnigos	ŝajn'ig'os
ŝajnigu	ŝajn'ig'u
ŝajnigus	ŝajn'ig'us
ŝajnigado	ŝajn'ig'ad'o
ŝajniganta	ŝajn'ig'ant'a
ŝajnigante	ŝajn'ig'ant'e
ŝajnigita	ŝajn'ig'it'a
ŝajnigitaj	ŝajn'ig'it'a'j
ŝaka	ŝak'a
ŝakaj	ŝak'a'j
ŝako	ŝak'o
ŝakojn	ŝak'o'j'n
ŝakon	ŝak'o'n
ŝakisto	ŝak'ist'o
ŝakistoj	ŝak'ist'o'j
ŝakluda	ŝak'lud'a
ŝakludi	ŝak'lud'i
ŝakludo	ŝak'lud'o
ŝakludon	ŝak'lud'o'n
ŝakludado	ŝak'lud'ad'o
ŝakludanto	ŝak'lud'ant'o
ŝakludantoj	ŝak'lud'ant'o'j
ŝakpecoj	ŝak'pec'o'j
ŝaktabulo	ŝak'tabul'o
ŝakalo	ŝakal'o
ŝakaloj	ŝakal'o'j
ŝakamo	ŝakam'o
ŝakjamunio	ŝakjamuni'o
ŝakrado	ŝakr'ad'o
ŝakristoj	ŝakr'ist'o'j
ŝakti	ŝakt'i
ŝakto	ŝakt'o
ŝaktoj	ŝakt'o'j
ŝakton	ŝakt'o'n
ŝaktotransporto	ŝakt'o'trans'port'o
ŝalo	ŝal'o
ŝaloj	ŝal'o'j
ŝalon	ŝal'o'n
ŝalmo	ŝalm'o
ŝaltas	ŝalt'as
ŝalti	ŝalt'i
ŝaltis	ŝalt'is
ŝaltos	ŝalt'os
ŝaltu	ŝalt'u
ŝaltado	ŝalt'ad'o
ŝaltante	ŝalt'ant'e
ŝaltiĝis	ŝalt'iĝ'is
ŝaltilo	ŝalt'il'o
ŝaltiloj	ŝalt'il'o'j
ŝaltilojn	ŝalt'il'o'j'n
ŝaltilon	ŝalt'il'o'n
ŝaltinte	ŝalt'int'e
ŝaltita	ŝalt'it'a
ŝaltitaj	ŝalt'it'a'j
ŝalupo	ŝalup'o
ŝamana	ŝaman'a
ŝamano	ŝaman'o
ŝamanoj	ŝaman'o'j
ŝamanismo	ŝaman'ism'o
ŝampuo	ŝampu'o
ŝampuoj	ŝampu'o'j
ŝampuon	ŝampu'o'n
ŝanco	ŝanc'o
ŝancoj	ŝanc'o'j
ŝancojn	ŝanc'o'j'n
ŝancon	ŝanc'o'n
ŝancatendo	ŝanc'atend'o
ŝancelas	ŝancel'as
ŝanceli	ŝancel'i
ŝancelis	ŝancel'is
ŝanceliĝa	ŝancel'iĝ'a
ŝanceliĝas	ŝancel'iĝ'as
ŝanceliĝe	ŝancel'iĝ'e
ŝanceliĝi	ŝancel'iĝ'i
ŝanceliĝis	ŝancel'iĝ'is
ŝanceliĝo	ŝancel'iĝ'o
ŝanceliĝanta	ŝancel'iĝ'ant'a
ŝanceliĝantaj	ŝancel'iĝ'ant'a'j
ŝanceliĝante	ŝancel'iĝ'ant'e
ŝanceliĝema	ŝancel'iĝ'em'a
ŝancelinsekto	ŝancel'insekt'o
ŝancelita	ŝancel'it'a
ŝanĝa	ŝanĝ'a
ŝanĝaj	ŝanĝ'a'j
ŝanĝan	ŝanĝ'a'n
ŝanĝas	ŝanĝ'as
ŝanĝe	ŝanĝ'e
ŝanĝi	ŝanĝ'i
ŝanĝis	ŝanĝ'is
ŝanĝo	ŝanĝ'o
ŝanĝoj	ŝanĝ'o'j
ŝanĝojn	ŝanĝ'o'j'n
ŝanĝon	ŝanĝ'o'n
ŝanĝos	ŝanĝ'os
ŝanĝu	ŝanĝ'u
ŝanĝus	ŝanĝ'us
ŝanĝadis	ŝanĝ'ad'is
ŝanĝado	ŝanĝ'ad'o
ŝanĝadon	ŝanĝ'ad'o'n
ŝanĝanta	ŝanĝ'ant'a
ŝanĝantaj	ŝanĝ'ant'a'j
ŝanĝantan	ŝanĝ'ant'a'n
ŝanĝante	ŝanĝ'ant'e
ŝanĝata	ŝanĝ'at'a
ŝanĝataj	ŝanĝ'at'a'j
ŝanĝebla	ŝanĝ'ebl'a
ŝanĝeblaj	ŝanĝ'ebl'a'j
ŝanĝeblas	ŝanĝ'ebl'as
ŝanĝebleco	ŝanĝ'ebl'ec'o
ŝanĝeblecon	ŝanĝ'ebl'ec'o'n
ŝanĝema	ŝanĝ'em'a
ŝanĝenda	ŝanĝ'end'a
ŝanĝigi	ŝanĝ'ig'i
ŝanĝigis	ŝanĝ'ig'is
ŝanĝigo	ŝanĝ'ig'o
ŝanĝiĝas	ŝanĝ'iĝ'as
ŝanĝiĝi	ŝanĝ'iĝ'i
ŝanĝiĝis	ŝanĝ'iĝ'is
ŝanĝiĝo	ŝanĝ'iĝ'o
ŝanĝiĝoj	ŝanĝ'iĝ'o'j
ŝanĝiĝojn	ŝanĝ'iĝ'o'j'n
ŝanĝiĝon	ŝanĝ'iĝ'o'n
ŝanĝiĝos	ŝanĝ'iĝ'os
ŝanĝiĝu	ŝanĝ'iĝ'u
ŝanĝiĝus	ŝanĝ'iĝ'us
ŝanĝiĝadis	ŝanĝ'iĝ'ad'is
ŝanĝiĝado	ŝanĝ'iĝ'ad'o
ŝanĝiĝadon	ŝanĝ'iĝ'ad'o'n
ŝanĝiĝanta	ŝanĝ'iĝ'ant'a
ŝanĝiĝantaj	ŝanĝ'iĝ'ant'a'j
ŝanĝiĝantajn	ŝanĝ'iĝ'ant'a'j'n
ŝanĝiĝantan	ŝanĝ'iĝ'ant'a'n
ŝanĝiĝante	ŝanĝ'iĝ'ant'e
ŝanĝiĝema	ŝanĝ'iĝ'em'a
ŝanĝiĝemaj	ŝanĝ'iĝ'em'a'j
ŝanĝiĝeman	ŝanĝ'iĝ'em'a'n
ŝanĝiĝinta	ŝanĝ'iĝ'int'a
ŝanĝinta	ŝanĝ'int'a
ŝanĝinte	ŝanĝ'int'e
ŝanĝita	ŝanĝ'it'a
ŝanĝitaj	ŝanĝ'it'a'j
ŝanĝitajn	ŝanĝ'it'a'j'n
ŝanĝitan	ŝanĝ'it'a'n
ŝanĝite	ŝanĝ'it'e
ŝanĝmonon	ŝanĝ'mon'o'n
ŝanhaja	ŝanhaj'a
ŝanhajaj	ŝanhaj'a'j
ŝanhajan	ŝanhaj'a'n
ŝanhajo	ŝanhaj'o
ŝanhajon	ŝanhaj'o'n
ŝanhajanoj	ŝanhaj'an'o'j
ŝarga	ŝarg'a
ŝargaj	ŝarg'a'j
ŝargas	ŝarg'as
ŝargi	ŝarg'i
ŝargis	ŝarg'is
ŝargo	ŝarg'o
ŝargoj	ŝarg'o'j
ŝargojn	ŝarg'o'j'n
ŝargon	ŝarg'o'n
ŝargado	ŝarg'ad'o
ŝarganta	ŝarg'ant'a
ŝargantan	ŝarg'ant'a'n
ŝargante	ŝarg'ant'e
ŝargeblaj	ŝarg'ebl'a'j
ŝargilo	ŝarg'il'o
ŝargiloj	ŝarg'il'o'j
ŝargilon	ŝarg'il'o'n
ŝargita	ŝarg'it'a
ŝargitaj	ŝarg'it'a'j
ŝargitan	ŝarg'it'a'n
ŝargite	ŝarg'it'e
ŝargkuplita	ŝarg'kupl'it'a
ŝarĝa	ŝarĝ'a
ŝarĝaj	ŝarĝ'a'j
ŝarĝas	ŝarĝ'as
ŝarĝi	ŝarĝ'i
ŝarĝis	ŝarĝ'is
ŝarĝo	ŝarĝ'o
ŝarĝoj	ŝarĝ'o'j
ŝarĝojn	ŝarĝ'o'j'n
ŝarĝon	ŝarĝ'o'n
ŝarĝos	ŝarĝ'os
ŝarĝu	ŝarĝ'u
ŝarĝado	ŝarĝ'ad'o
ŝarĝadon	ŝarĝ'ad'o'n
ŝarĝanta	ŝarĝ'ant'a
ŝarĝante	ŝarĝ'ant'e
ŝarĝaŭto	ŝarĝ'aŭt'o
ŝarĝaŭtoj	ŝarĝ'aŭt'o'j
ŝarĝaŭtojn	ŝarĝ'aŭt'o'j'n
ŝarĝaŭton	ŝarĝ'aŭt'o'n
ŝarĝita	ŝarĝ'it'a
ŝarĝitaj	ŝarĝ'it'a'j
ŝarĝitajn	ŝarĝ'it'a'j'n
ŝarĝitan	ŝarĝ'it'a'n
ŝarĝite	ŝarĝ'it'e
ŝarko	ŝark'o
ŝarkoj	ŝark'o'j
ŝarkojn	ŝark'o'j'n
ŝarkon	ŝark'o'n
ŝatas	ŝat'as
ŝate	ŝat'e
ŝati	ŝat'i
ŝatis	ŝat'is
ŝato	ŝat'o
ŝatoj	ŝat'o'j
ŝatojn	ŝat'o'j'n
ŝaton	ŝat'o'n
ŝatos	ŝat'os
ŝatu	ŝat'u
ŝatus	ŝat'us
ŝatado	ŝat'ad'o
ŝatanta	ŝat'ant'a
ŝatantaj	ŝat'ant'a'j
ŝatante	ŝat'ant'e
ŝatanto	ŝat'ant'o
ŝatantoj	ŝat'ant'o'j
ŝatantojn	ŝat'ant'o'j'n
ŝatata	ŝat'at'a
ŝatataj	ŝat'at'a'j
ŝatatajn	ŝat'at'a'j'n
ŝatatan	ŝat'at'a'n
ŝatatas	ŝat'at'as
ŝatateco	ŝat'at'ec'o
ŝatatecon	ŝat'at'ec'o'n
ŝategas	ŝat'eg'as
ŝategis	ŝat'eg'is
ŝategos	ŝat'eg'os
ŝategus	ŝat'eg'us
ŝatinda	ŝat'ind'a
